metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
rmse,0.39846714647610165,1.1286282689442746,1.9233302824533713,1.2858749176766278,0.3553439746062928,0.059353871695359196,0.006093833417762242,0.0003743359854896579
coverage95,0.9485,0.9345,0.9335,0.9545,0.9785,0.9645,0.976,0.924
corr_mean,1.0,0.9999999999999986,0.9999999999959834,0.9999999974731955,0.9999995547968559,0.9999404980285131,0.9887766803197782,0.7857077300229353
