metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
rmse,1.419915830690296,7.715200025226153,48.123444203948594,0.865150134695289,0.11466068057835,0.009294898098451024,0.0004579181058859085
coverage95,0.3035,0.2815,0.3005,0.9175,0.8175,0.825,1.0
