t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1,3.15826292890891,2.8285507509664094,-1.2006979084780542,0.1731525551351381,0.00686101260870361,-0.0023595333274591666,0.0001164654713159985
2,3.298193201617939,2.7687324386672407,-1.199575415905893,0.1734926587776701,0.006743181524137621,-0.002353710053918046,0.00011646547131839297
3,3.4351339684395774,2.708970673774091,-1.2023021176251028,0.17382687814602382,0.006625641603104337,-0.002347886780371661,0.00011646547132191584
4,3.56908324805979,2.6490729890986673,-1.2098314899301739,0.17415522779882922,0.006508392845549223,-0.0023420635068116392,0.0001164654713261224
5,3.7000282357341794,2.588799243920906,-1.2233122126707614,0.17447772229478495,0.006391435251388111,-0.0023362402332258512,0.00011646547133005127
6,3.8279426966791346,2.527851863168979,-1.2427059901983495,0.1747943761927269,0.006274768820508088,-0.002330416959597441,0.00011646547133202204
7,3.952785551401352,2.465935186885308,-1.2660054213908305,0.17510520405127952,0.006158393552770495,-0.002324593685903252,0.00011646547132937161
8,4.074503454414163,2.402853925112738,-1.2921716774440697,0.1754102204289696,0.006042309448013861,-0.002318770412112367,0.00011646547131806158
9,4.193034590718289,2.33846472945613,-1.3214986098832218,0.1757094398842259,0.005926516506065711,-0.002312947138185838,0.00011646547129231265
10,4.308309617457697,2.272609558722127,-1.3539396546386495,0.1760028769755445,0.005811014726739415,-0.0023071238640754777,0.00011646547124412771
11,4.420251341212458,2.2051327000343184,-1.387332149337978,0.17629054626126522,0.005695804109831758,-0.002301300589723331,0.00011646547116281587
12,4.528777485282965,2.1359865737965396,-1.420321822594375,0.1765724622995183,0.005580884655144017,-0.002295477315061701,0.00011646547103448547
13,4.633805091493111,2.065191313910377,-1.4530212483319485,0.1768486396483692,0.00546625636247591,-0.0022896540400124555,0.00011646547084148172
14,4.735252066567508,1.9927614255637545,-1.4854715630882211,0.17711909286591473,0.005351919231635313,-0.002283830764487856,0.00011646547056187412
15,4.833036990760497,1.9187093571153098,-1.5169534479175484,0.17738383651019404,0.005237873262434606,-0.002278007488390601,0.0001164654701689155
16,4.927079964974127,1.8430835229148819,-1.54605057054141,0.1776428851391138,0.00512411845469652,-0.002272184211614542,0.00011646546963052565
17,5.017305279905999,1.7660031540367713,-1.5720953234543797,0.17789625331046197,0.005010654808264614,-0.0022663609340450924,0.00011646546890877821
18,5.103644023386696,1.6876208619878317,-1.5967787117383119,0.17814395558206003,0.004897482322993677,-0.0022605376555599735,0.00011646546795939986
19,5.18603280502211,1.6080047078301267,-1.6220695585402405,0.17838600651195163,0.004784600998759034,-0.0022547143760306937,0.00011646546673134886
20,5.264409172363945,1.5271243114815842,-1.6475963376932907,0.17862242065819794,0.004672010835445815,-0.0022488910953230076,0.00011646546516637978
21,5.33870961528953,1.444967869335865,-1.672412638603332,0.17885321257890344,0.0045597118329268145,-0.0022430678132955924,0.00011646546319856395
22,5.40887122038822,1.3615708982895318,-1.696272302776445,0.1790783968320019,0.00444770399109859,-0.0022372445298028468,0.00011646546075391373
