iteration,free_energy
1,18582.904192051545
2,18582.904192051545
3,18582.904192051545
4,18582.904192051545
5,18582.904192051545
6,18582.904192051545
7,18582.904192051545
8,18582.904192051545
9,18582.904192051545
10,18582.904192051545
11,18582.904192051545
12,18582.904192051545
13,18582.904192051545
14,18582.904192051545
15,18582.904192051545
16,18582.904192051545
17,18582.904192051545
18,18582.904192051545
19,18582.904192051545
20,18582.904192051545
21,18582.904192051545
22,18582.904192051545
23,18582.904192051545
24,18582.904192051545
25,18582.904192051545
26,18582.904192051545
27,18582.904192051545
28,18582.904192051545
29,18582.904192051545
30,18582.904192051545
31,18582.904192051545
32,18582.904192051545
33,18582.904192051545
34,18582.904192051545
35,18582.904192051545
36,18582.904192051545
37,18582.904192051545
38,18582.904192051545
39,18582.904192051545
40,18582.904192051545
41,18582.904192051545
42,18582.904192051545
43,18582.904192051545
44,18582.904192051545
45,18582.904192051545
46,18582.904192051545
47,18582.904192051545
48,18582.904192051545
49,18582.904192051545
50,18582.904192051545
51,18582.904192051545
52,18582.904192051545
53,18582.904192051545
54,18582.904192051545
55,18582.904192051545
56,18582.904192051545
57,18582.904192051545
58,18582.904192051545
59,18582.904192051545
60,18582.904192051545
61,18582.904192051545
62,18582.904192051545
63,18582.904192051545
64,18582.904192051545
65,18582.904192051545
66,18582.904192051545
67,18582.904192051545
68,18582.904192051545
69,18582.904192051545
70,18582.904192051545
71,18582.904192051545
72,18582.904192051545
73,18582.904192051545
74,18582.904192051545
75,18582.904192051545
76,18582.904192051545
77,18582.904192051545
78,18582.904192051545
79,18582.904192051545
80,18582.904192051545
81,18582.904192051545
82,18582.904192051545
83,18582.904192051545
84,18582.904192051545
85,18582.904192051545
86,18582.904192051545
87,18582.904192051545
88,18582.904192051545
89,18582.904192051545
90,18582.904192051545
91,18582.904192051545
92,18582.904192051545
93,18582.904192051545
94,18582.904192051545
95,18582.904192051545
96,18582.904192051545
97,18582.904192051545
98,18582.904192051545
99,18582.904192051545
100,18582.904192051545
