metric,dim_1,dim_2,dim_3,dim_4,dim_5
rmse,0.11543022239611109,0.1409451356155008,0.3422000493379564,0.10564982381336663,0.0019424779696203404
coverage95,0.961,0.9705,0.959,1.0,0.8755
corr_mean,0.9999999999772022,0.9999998503420858,0.9994722569013271,0.9954439834478888,0.37199814527380703
