metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
rmse,1.4217182077554564,7.713970267691452,48.11513135450537,0.6048195236351525,0.03609963587534394,0.0011658219510229148
coverage95,0.285,0.2815,0.3,1.0,1.0,1.0
