t,dim_1
140,8.053579346071053e-5
141,8.053493439345313e-5
142,8.053407633125039e-5
143,8.053321927408086e-5
144,8.053236322192318e-5
145,8.053150817475589e-5
146,8.05306541325576e-5
147,8.052980109530702e-5
148,8.052894906298276e-5
149,8.052809803556354e-5
150,8.052724801302811e-5
151,8.052639899535516e-5
152,8.052555098252349e-5
153,8.052470397451196e-5
154,8.052385797129934e-5
155,8.052301297286444e-5
156,8.052216897918623e-5
157,8.052132599024357e-5
158,8.052048400601537e-5
159,8.051964302648058e-5
160,8.051880305161817e-5
161,8.051796408140716e-5
162,8.051712611582652e-5
163,8.051628915485543e-5
164,8.051545319847286e-5
165,8.05146182466579e-5
166,8.051378429938979e-5
167,8.051295135664754e-5
168,8.051211941841043e-5
169,8.051128848465763e-5
170,8.051045855536833e-5
171,8.050962963052183e-5
172,8.050880171009739e-5
173,8.050797479407431e-5
174,8.050714888243194e-5
175,8.050632397514958e-5
176,8.050550007220663e-5
177,8.05046771735825e-5
178,8.050385527925658e-5
179,8.050303438920844e-5
180,8.050221450341745e-5
181,8.050139562186316e-5
182,8.0500577744525e-5
183,8.049976087138271e-5
184,8.049894500241568e-5
185,8.049813013760363e-5
186,8.049731627692613e-5
187,8.049650342036286e-5
188,8.049569156789351e-5
189,8.049488071949776e-5
190,8.049407087515535e-5
191,8.049326203484599e-5
192,8.049245419854957e-5
193,8.049164736624576e-5
194,8.049084153791446e-5
195,8.049003671353553e-5
196,8.048923289308883e-5
197,8.048843007655432e-5
198,8.048762826391183e-5
199,8.048682745514141e-5
200,8.048602765022296e-5
201,8.048522884913654e-5
202,8.048443105186216e-5
203,8.048363425837985e-5
204,8.04828384686697e-5
205,8.048204368271185e-5
206,8.04812499004864e-5
207,8.04804571219735e-5
208,8.047966534715342e-5
209,8.047887457600626e-5
210,8.047808480851227e-5
211,8.047729604465172e-5
212,8.04765082844049e-5
213,8.047572152775207e-5
214,8.047493577467364e-5
215,8.047415102514988e-5
216,8.047336727916123e-5
217,8.04725845366881e-5
218,8.047180279771086e-5
219,8.047102206221005e-5
220,8.047024233016613e-5
221,8.046946360155952e-5
222,8.046868587637084e-5
223,8.046790915458064e-5
224,8.046713343616948e-5
225,8.046635872111798e-5
