t,dim_1
1,0.6110974940664445
2,0.6110974822122918
3,0.611097449475672
4,0.6110974019774005
5,0.6110973371118894
6,0.6110972557481607
7,0.6110971548993127
8,0.6110970346655304
9,0.6110968924906945
10,0.6110967300027351
11,0.6110965420215375
12,0.6110963287789427
13,0.6110960888660248
14,0.6110958233344052
15,0.6110955284516704
16,0.6110952065310356
17,0.611094861891469
18,0.6110944897310105
19,0.6110940911280002
20,0.6110936620635052
21,0.6110932067686089
22,0.6110927224613767
23,0.611092205406985
24,0.6110916591569849
25,0.6110910854908771
26,0.6110904797289555
27,0.6110898445898515
28,0.6110891775314966
29,0.6110884749653053
30,0.6110877402315587
31,0.611086974692769
32,0.6110861767173583
33,0.6110853495227272
34,0.611084487742751
35,0.6110835916168958
36,0.6110826626606441
37,0.6110816995361676
38,0.6110807034641994
39,0.6110796736396418
40,0.6110786078399534
41,0.6110775066686073
42,0.611076373707444
43,0.6110752105711748
44,0.6110740144543519
45,0.6110727863003139
46,0.6110715271736241
47,0.6110702369495495
48,0.6110689145482447
49,0.6110675602523953
50,0.6110661784388512
51,0.6110647674457064
52,0.6110633268537807
53,0.6110618583996742
54,0.6110603600542851
55,0.6110588323878486
56,0.611057270232791
57,0.6110556788477806
58,0.6110540590129326
59,0.6110524115054626
60,0.6110507362762674
61,0.6110490335625053
62,0.6110473037675669
63,0.6110455481258422
64,0.6110437696425424
65,0.6110419600467658
66,0.6110401253496195
67,0.6110382654277903
68,0.6110363861911463
69,0.6110344862368755
70,0.6110325601569541
71,0.6110306121315593
72,0.6110286448052824
73,0.6110266544938109
74,0.6110246434509341
75,0.6110226105283963
76,0.611020557949197
77,0.61101848605328
78,0.6110163893596767
79,0.6110142764551413
80,0.6110121485248063
81,0.6110099969326941
82,0.6110078298283885
83,0.611005643925715
84,0.6110034378600846
85,0.6110012162620024
86,0.6109989780206279
87,0.610996722705904
88,0.6109944492326215
89,0.6109921567989705
90,0.6109898453234015
91,0.6109875158257658
92,0.6109851693282783
93,0.6109828085635162
94,0.6109804327231343
95,0.6109780448796479
96,0.6109756423481316
97,0.6109732236088092
98,0.610970784685109
99,0.6109683270143561
100,0.6109658551186978
101,0.6109633649315005
102,0.6109608585126176
103,0.6109583361752994
104,0.6109557932300561
105,0.6109532321714066
106,0.6109506527585645
107,0.6109480532455358
108,0.6109454355573296
109,0.610942803720832
110,0.6109401523026605
111,0.6109374854728646
112,0.6109347995561308
113,0.6109320923323314
114,0.6109293610086283
115,0.6109266067728777
116,0.6109238292823517
117,0.6109210269078701
118,0.6109182034010243
119,0.6109153561507934
120,0.6109124868553477
121,0.6109095952941626
122,0.6109066824361385
123,0.6109037433170332
124,0.6109007773304892
125,0.610897784727587
126,0.6108947614831371
127,0.6108917111576617
128,0.6108886344456799
129,0.6108855343667473
130,0.6108824034947995
131,0.6108792441386566
132,0.610876060384051
133,0.6108728486150027
134,0.610869606197819
135,0.6108663334664316
136,0.6108630284451079
137,0.6108596928976938
138,0.6108563257626478
139,0.610852923121478
140,0.6108494896397799
141,0.61084602571502
142,0.6108425287556051
143,0.6108389957550746
144,0.610835428755772
145,0.610831827781932
146,0.6108281903396333
147,0.6108245154835675
148,0.6108208037012315
149,0.610817048700905
150,0.6108132516247616
151,0.6108094133623179
152,0.6108055346748789
153,0.6108016182326972
154,0.6107976611925681
155,0.6107936609306748
156,0.6107896195841092
157,0.6107855348829418
158,0.6107814060524042
159,0.6107772351404518
160,0.610773023936697
161,0.6107687698196392
162,0.6107644756661901
163,0.6107601383748956
164,0.6107557579607721
165,0.6107513354540511
166,0.6107468654000493
167,0.6107423521844972
168,0.6107377985071895
169,0.6107331989426613
170,0.6107285589216302
171,0.6107238783490343
172,0.6107191539723955
173,0.6107143874323074
174,0.6107095772774545
175,0.6107047202678421
176,0.6106998208167217
177,0.6106948785807133
178,0.610689898630904
179,0.6106848753381386
180,0.6106798113960369
181,0.6106747058665178
182,0.6106695607941206
183,0.6106643786073692
184,0.6106591575102938
185,0.610653896027307
186,0.61064859603219
187,0.6106432590598537
188,0.6106378796729562
189,0.6106324638999138
190,0.6106270116512565
191,0.6106215240337273
192,0.6106160030893105
193,0.6106104467667086
194,0.610604862022973
195,0.6105992443031227
196,0.6105935965417764
197,0.6105879143079292
198,0.6105822068004143
199,0.6105764769896775
200,0.6105707215169837
201,0.6105649443192586
202,0.6105591395238157
203,0.6105533132816173
204,0.6105474615174916
205,0.6105415894773225
206,0.6105356955316675
207,0.6105297787886185
208,0.6105238489061993
209,0.6105179000198796
210,0.6105119352062801
211,0.6105059554189742
212,0.6104999625305102
213,0.610493956757593
214,0.6104879373158024
215,0.6104819124465316
216,0.6104758790335251
217,0.6104698372007501
218,0.6104637940856322
219,0.6104577469004497
220,0.6104516949643092
221,0.6104456402406563
222,0.6104395858422003
223,0.6104335312424543
224,0.6104274829860493
225,0.610421436418839
226,0.6104153917231527
227,0.6104093498678459
228,0.610403311203292
229,0.6103972769607642
230,0.6103912538876954
231,0.6103852397509237
232,0.6103792344435531
233,0.6103732424965574
234,0.6103672670966719
235,0.6103613040832578
236,0.6103553562891985
237,0.6103494255911517
238,0.6103435104184751
239,0.6103376142856416
240,0.6103317357470922
241,0.6103258814907734
242,0.6103200489069043
243,0.610314239838227
244,0.6103084585197877
245,0.6103027017523254
246,0.6102969668285588
247,0.6102912581505252
248,0.6102855778148829
249,0.6102799281163437
250,0.6102743054070978
251,0.6102687162342427
252,0.6102631589181176
253,0.610257636173045
254,0.6102521491391419
255,0.6102466969075445
256,0.6102412822994757
257,0.6102359028203328
258,0.6102305592212333
259,0.6102252505883823
260,0.6102199781071012
261,0.6102147426912765
262,0.6102095469836172
263,0.6102043849520394
264,0.61019926171055
265,0.6101941789901484
266,0.6101891397792621
267,0.6101841416134507
268,0.6101791852432811
269,0.6101742633086635
270,0.6101693828694511
271,0.6101645388702409
272,0.6101597326251319
273,0.6101549659313837
274,0.6101502377929127
275,0.6101455502022298
276,0.6101409028387977
277,0.6101362938108084
278,0.6101317238408698
279,0.6101271905801975
280,0.6101226934051908
281,0.6101182399849535
282,0.6101138201224796
283,0.6101094408708014
284,0.6101050963489647
285,0.6101007879827623
286,0.6100965179138857
287,0.6100922855283706
288,0.6100880813264541
289,0.6100839148762083
290,0.610079783654885
291,0.6100756823154642
292,0.6100716123640063
293,0.6100675708545531
294,0.6100635621061186
295,0.61005959011235
296,0.6100556523552846
297,0.6100517382362541
298,0.6100478499193469
299,0.6100439891069139
300,0.6100401581368025
301,0.6100363490031637
302,0.6100325611890473
303,0.610028798313795
304,0.6100250587597663
305,0.6100213372589725
306,0.6100176346057887
307,0.6100139534280766
308,0.6100102851118053
309,0.6100066333141154
310,0.6100030021105397
311,0.6099993847061885
312,0.6099957809758536
313,0.6099921954561904
314,0.6099886214539542
315,0.6099850655526392
316,0.60998152022266
317,0.6099779844194118
318,0.6099744526140156
319,0.60997093199733
320,0.6099674170079593
321,0.6099639115386131
322,0.6099604065919658
323,0.609956901095694
324,0.6099533965475484
325,0.6099498937915273
326,0.6099463952289537
327,0.6099428993418705
328,0.6099394030431908
329,0.609935900278356
330,0.6099323947951973
331,0.6099288843365007
332,0.6099253697792055
333,0.6099218448982161
334,0.6099183094044811
335,0.6099147690994009
336,0.609911223090174
337,0.609907667287631
338,0.6099041046370135
339,0.6099005315342875
340,0.6098969507744018
341,0.6098933542236786
342,0.6098897432231944
343,0.6098861242503636
344,0.6098824924546972
345,0.6098788472228209
346,0.6098751903308635
347,0.6098715140639276
348,0.6098678233428478
349,0.6098641151541809
350,0.6098603872564833
351,0.6098566435161569
352,0.6098528815974359
353,0.6098490989789624
354,0.6098452966870506
355,0.6098414732196329
356,0.6098376317334117
357,0.6098337731486815
358,0.609829897207237
359,0.609826006969377
360,0.6098220961518696
361,0.6098181670961929
362,0.6098142188746388
363,0.6098102497564271
364,0.6098062590651364
365,0.6098022496255169
366,0.6097982221802744
367,0.6097941747697588
368,0.6097901082103191
369,0.6097860213645692
370,0.6097819114512598
371,0.6097777839447884
372,0.6097736370786292
373,0.6097694712488835
374,0.6097652866681742
375,0.6097610828401933
376,0.6097568610002846
377,0.6097526168307316
378,0.6097483509565405
379,0.6097440612063381
380,0.6097397516926091
381,0.6097354177497581
382,0.6097310650055374
383,0.609726692621751
384,0.6097223027525444
385,0.6097178944233357
386,0.6097134627292575
387,0.6097090147138092
388,0.6097045508779909
389,0.6097000638337452
390,0.6096955589827684
391,0.6096910345100361
392,0.6096864913817662
393,0.6096819313561977
394,0.6096773508332327
395,0.60967275320409
396,0.6096681414976536
397,0.6096635170317054
398,0.6096588778413443
399,0.6096542192145968
400,0.6096495449148446
401,0.6096448533876303
402,0.6096401426095848
403,0.6096354125936558
404,0.609630668546428
405,0.6096259108178582
406,0.6096211363119513
407,0.6096163466513795
408,0.6096115426014109
409,0.6096067265895186
410,0.6096018922610454
411,0.6095970458959141
412,0.6095921897946954
413,0.6095873205142144
414,0.6095824375437766
415,0.6095775385119577
416,0.609572622884002
417,0.6095676873801057
418,0.609562734054385
419,0.6095577638351074
420,0.6095527785094901
421,0.6095477784903466
422,0.6095427576245992
423,0.609537718328558
424,0.6095326631599965
425,0.6095275940509739
426,0.6095225075292063
427,0.6095174024346793
428,0.6095122776591487
429,0.6095071369807518
430,0.6095019766866369
431,0.6094967959711984
432,0.6094915967089002
433,0.6094863788386108
434,0.6094811414142327
435,0.609475883512797
436,0.6094706027016475
437,0.6094653003274885
438,0.6094599718314375
439,0.6094546173236456
440,0.6094492391788761
441,0.6094438353476141
442,0.6094384105084935
443,0.6094329585825665
444,0.6094274750890167
445,0.6094219641887584
446,0.6094164208826972
447,0.6094108437161992
448,0.6094052318916581
449,0.6093995872279088
450,0.6093939129721708
451,0.6093882040243931
452,0.6093824604998986
453,0.6093766793860356
454,0.6093708623610286
455,0.6093650078171259
456,0.6093591142610133
457,0.6093531762637433
458,0.6093471944653791
459,0.6093411683913612
460,0.6093350979912874
461,0.6093289871754183
462,0.6093228332948921
463,0.6093166347038405
464,0.6093103863495096
465,0.609304090155217
466,0.6092977502107181
467,0.6092913608536645
468,0.6092849271706715
469,0.6092784433667523
470,0.6092719057685477
471,0.609265316897162
472,0.6092586737252467
473,0.6092519752136355
474,0.6092452232058693
475,0.6092384156137618
476,0.6092315476588117
477,0.6092246225032303
478,0.6092176391124919
479,0.6092105973417214
480,0.6092034949150441
481,0.6091963335479152
482,0.6091891084393662
483,0.6091818147368381
484,0.6091744567333148
485,0.6091670324417221
486,0.6091595414499738
487,0.6091519856835017
488,0.6091443621844088
489,0.6091366718397532
490,0.6091289137597964
491,0.6091210843827144
492,0.6091131853537749
493,0.6091052169062414
494,0.6090971768278169
495,0.6090890686451355
496,0.6090808852795658
497,0.6090726268954706
498,0.6090642964206959
499,0.6090558923846983
500,0.6090474201193817
501,0.6090388770192363
502,0.6090302951830857
503,0.6090216722129378
504,0.6090130141296108
