metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
rmse,0.2735097656050864,0.385061694202536,0.8141112323195725,0.40610294085228427,0.03273544568476904,0.001485386487809062
coverage95,0.1795,0.186,0.3745,0.368,0.251,0.1975
corr_mean,0.9996694942910268,0.9986089820859004,0.990795079025899,NaN,NaN,NaN
