t,dim_1,dim_2,dim_3
1,0.04388402192492272,0.7229787448039391,5.2010423360105
2,0.03197868732076074,0.5770196576258824,4.762230004413202
3,0.02372534755815519,0.4552517887780407,4.325942595702768
4,0.018214191283289195,0.3554245127057925,3.8985460170123374
5,0.014701371436025314,0.2751689863694038,3.4871964238991966
6,0.012592678425187534,0.21204135393632922,3.0989624387210517
7,0.011426122015416823,0.16358704796861223,2.7401082345756285
8,0.010853818125232655,0.1274124891107452,2.4155720874962374
9,0.01062377152801629,0.1012536301187611,2.1286537788032462
10,0.010562197978024778,0.08303394238631054,1.8809022217415556
11,0.01055697979211768,0.07090740181682875,1.672176685480069
12,0.010542734044334989,0.06328461888284752,1.5008431364401287
13,0.010487823774795728,0.05884235270626094,1.3640618506414757
14,0.01038348533937303,0.056518192580217626,1.2581227965966486
15,0.010235098081241921,0.05549318375658181,1.1787899910923265
16,0.010055498420796831,0.05516566653933694,1.121623544446661
17,0.00986014609810246,0.055119670438704985,1.0822569662818529
18,0.009663887804529658,0.055090957482940864,1.0566162604740743
19,0.009479031333984946,0.05493334390474357,1.041075473050907
20,0.009314437702980946,0.054587343955221676,1.0325500707181876
21,0.009175354015503458,0.0540525564224106,1.0285345224638238
22,0.009063740204775888,0.05336461856405652,1.0270936836626825
23,0.008978882329360331,0.05257702943291856,1.0268191789582015
24,0.008918128631108545,0.051747722417416785,1.0267622065746045
25,0.008877627814036674,0.05092995659940637,1.0263533656979469
26,0.008852988791927873,0.050166896704872635,1.0253185781454168
27,0.008839815375950466,0.049489151082759204,1.0235982521085956
28,0.00883409691579564,0.048914519460409506,1.0212747897632781
29,0.008832456480496631,0.04844924750797701,1.0185115832860259
30,0.008832272117251773,0.048090173473728,1.0155049234904088
31,0.008831694848302853,0.04782726483102388,1.0124488500536164
32,0.008829590405261807,0.047646164269756416,1.0095119381666828
33,0.008825431406349143,0.047530482147715346,1.0068243378937685
34,0.008819163881185248,0.047463677954427755,1.0044730240939672
35,0.008811067755071383,0.04743046108690817,1.0025031222105012
36,0.008801625968651808,0.04741770889695187,1.0009232854614525
37,0.008791411985749661,0.047414947508717865,0.9997133480134407
38,0.008781000993912425,0.047414470014644786,0.9988328076952637
39,0.008770906411532301,0.04741118013768129,0.9982290507545145
40,0.008761540512464954,0.047402250661376155,0.9978445810597574
41,0.008753196073814319,0.0473866783549646,0.9976228294103628
42,0.008746044868578554,0.04736480401709132,0.9975123783927079
43,0.008740148431276655,0.04733785044500416,0.9974696369743996
44,0.00873547666377713,0.04730751485559958,0.9974601366351697
45,0.008731930357964185,0.04727563718516871,0.9974587025629202
46,0.008729364440846512,0.047243952840691744,0.9974487880034855
47,0.00872760956768244,0.047213928421269855,0.9974212576692224
48,0.008726490498835858,0.04718667181284798,0.9973728779296906
49,0.008725840424741057,0.04716290371228919,0.9973047273507005
50,0.008725511006427818,0.047142975681504634,0.9972206896287918
51,0.008725378356272481,0.04712691977880536,0.9971261389173502
52,0.008725345493740499,0.04711451613646415,0.997026879896913
53,0.008725341986418403,0.04710536704605134,0.9969283648425923
54,0.008725321548938507,0.04709896873363247,0.9968351789468548
55,0.008725258347207672,0.04709477469740787,0.9967507635546068
56,0.008725142669207014,0.04709224697655841,0.9966773341088296
57,0.008724976501245893,0.047090893849172734,0.9966159442223868
58,0.008724769411073816,0.047090294128049055,0.9965666477917123
59,0.008724535003319479,0.04709010941186223,0.9965287157671185
60,0.008724288090218819,0.047090086382170576,0.996500871497166
61,0.008724042618881173,0.04709005157451318,0.9964815170843486
62,0.008723810318861184,0.047089901073933585,0.9964689318159058
63,0.008723599980847672,0.04708958737766926,0.9964614316567972
64,0.008723417246839582,0.04708910531333119,0.996457485491058
65,0.008723264780769055,0.047088478472759265,0.9964557890085839
66,0.008723142691914144,0.047087747179279583,0.9964553008008764
67,0.008723049097222825,0.047086958593473935,0.9964552474510101
68,0.00872298072873029,0.04708615920893122,0.9964551053826173
69,0.0087229335150544,0.047085389710486245,0.9964545672285433
70,0.008722903088696958,0.04708468196769893,0.9964534997674548
71,0.008722885191540606,0.04708405781190603,0.9964518993187228
72,0.008722875968242515,0.04708352918644726,0.9964498491121306
73,0.00872287215056972,0.047083099253734245,0.9964474817444504
74,0.008722871145010176,0.04708276407560764,0.9964449485359619
75,0.008722871041527943,0.04708251454123681,0.9964423964951319
