metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
rmse,0.10549336393251284,0.14419581920851615,0.35824674376585236,0.15758666806698302,0.03150534741741401,0.0045637095279757595,0.0004442536588839344
coverage95,0.974,0.9515,0.9465,1.0,0.9615,0.9095,0.849
corr_mean,0.9999999999999966,0.9999999999793571,0.9999998512455543,0.9999927410073262,0.9998212787012741,0.9937048541213573,0.6054626747565074
