metric,dim_1,dim_2,dim_3
rmse,0.12040848502587094,0.15010265796180436,0.3550006870094408
coverage95,0.956,0.938,0.9555
corr_mean,0.9999999997020148,0.9999987544705657,0.9957704342927384
