t,dim_1,dim_2,dim_3
56,17.030321410940367,4.223672572552549,0.1276153232677776
57,17.453326746716826,4.236434103834764,0.1215783224394676
58,17.87757804798072,4.248591935107324,0.12184124453102489
59,18.303046446348663,4.2607760587255665,0.1277487097701876
60,18.729762795854136,4.2735509288593185,0.13890029166100798
61,19.15781239044421,4.2874409571575605,0.15539909070348773
62,19.58733348264093,4.30298086525732,0.17764300803369534
63,20.018519783099947,4.320745165200802,0.2056072133464914
64,20.451622333249578,4.341305885919259,0.23818418944872977
65,20.886943841709815,4.365124304355834,0.2742751580628011
66,21.32482764806699,4.392551819640705,0.31358397560120477
67,21.76565074839106,4.423910216831194,0.355677291045612
68,22.20982015512412,4.459477945706668,0.3996415818773026
69,22.65776615542845,4.49944210388287,0.4443577849037565
70,23.109932154220054,4.543877882413863,0.4889831143780527
71,23.566764856521768,4.592776194043401,0.5328823356871422
72,24.028706886604844,4.646064427903845,0.5752706838785672
73,24.496189681738446,4.703591496691036,0.6154994508532362
74,24.969626325718238,4.76514144247009,0.6523124660202744
75,25.449402032425493,4.830372689752802,0.6848305301699605
76,25.935863452647276,4.898855743590937,0.7126554471835433
77,26.42931230484161,4.970121289070541,0.7355356344093238
78,26.93000211398529,5.043674853066268,0.7543035512472385
79,27.43814111628107,5.119105208822442,0.769364663558438
80,27.953898460038914,5.19604167585393,0.7803410692485325
81,28.477404330680706,5.274075783683436,0.7863790101015734
82,29.00874380104595,5.352713685903571,0.7858086635661676
83,29.547944210469428,5.4312945537186295,0.776899310512087
84,30.094958164178568,5.508984486049839,0.7594322084347119
85,30.649653775613036,5.584927707994601,0.7345236171472086
86,31.211819168479497,5.658380070412455,0.7039762164612915
87,31.781177058875155,5.728777692534527,0.6697441804098978
88,32.35740355216527,5.79575211073793,0.6335171148291231
89,32.94014635023247,5.859103822241392,0.5967181106213467
90,33.52904032589637,5.918775633035428,0.5606927522355802
91,34.12372135566866,5.974844907720113,0.5271892368574972
92,34.723841794956336,6.02756383063384,0.4977822533467014
93,35.32908709078874,6.0773420550462225,0.47366983149018344
94,35.93918964754247,6.124709037063829,0.4559750902577443
95,36.5539404300146,6.170306544626777,0.4463874418208299
96,37.173203024846224,6.214945287030053,0.44693009148071394
97,37.796932205552935,6.259638294244685,0.45907369508052365
98,38.42519140433899,6.305545661730649,0.48357840162633803
99,39.058163860981786,6.3539035000250434,0.5202403929593272
100,39.696155408380974,6.405927537909556,0.5671513806635546
101,40.33958391647788,6.462642674824208,0.6220721527412021
102,40.98895854229899,6.524849889189137,0.6834332167229622
103,41.64486069480154,6.5931932102023305,0.7496954988937368
104,42.30792848862454,6.668162759901677,0.8186115929825893
105,42.97883782026535,6.7500239192413956,0.8879921282495072
106,43.65828017013454,6.838823132377452,0.9562713160295376
107,44.34694383754399,6.934450264532229,1.0218539622939993
108,45.04549813225145,7.036635661469205,1.0835007846831206
109,45.75457919894636,7.14498574098263,1.1396703204220164
110,46.47477611928913,7.258952774605748,1.1876335058382532
111,47.20660956259673,7.377716126938746,1.2251903985867365
112,47.950507126694696,7.500235168605434,1.2516312980843183
113,48.7067888002634,7.62539830020009,1.2668402390393767
114,49.47566283389764,7.752082325648346,1.2716412244451432
115,50.25722927827911,7.879246449067697,1.2685697045725501
116,51.05149677818668,8.006103419852076,1.2614295286903152
117,51.858414274739836,8.132246372355752,1.254408964562295
118,52.6779109634674,8.25768726777976,1.2517560296135464
119,53.50993847689934,8.382862869058187,1.257587927977462
120,54.35451270471101,8.50862166004645,1.2743333792475255
121,55.21174653755713,8.636054996167205,1.3023708845796285
122,56.0818638916093,8.766292082819932,1.3416872389310905
123,56.9652015353812,8.900460804978248,1.3920661098422824
124,57.862207944631876,9.039667414407386,1.452725890796203
125,58.773438313715474,9.184940002112988,1.522539240172518
126,59.69954500871024,9.337193924897953,1.6004972204908312
127,60.64126688604905,9.497243645840152,1.6857651698407015
128,61.599420072396086,9.665820162125916,1.7766744541062722
129,62.57488545223773,9.843487607702377,1.8692476846259287
130,63.56858044595849,10.03041237687805,1.9590742113700474
131,64.58141705289195,10.226319798909259,2.043877851074113
132,65.61426841878139,10.43070758523655,2.122074838136224
133,66.66794954858244,10.64291507056142,2.1917370061542982
134,67.74319973995838,10.862088772759217,2.2517317799832766
135,68.84066727316012,11.087261952637272,2.3009075547322007
136,69.96089800573044,11.317352710036854,2.338188974076778
137,71.10432422081827,11.55117160944959,2.363184404202541
138,72.27125730465144,11.787490051788243,2.3759191392616055
139,73.46188590721084,12.02508196746434,2.3771904996061526
140,74.6762800587061,12.262801018949773,2.3682281863351187
141,75.91440130274381,12.499623838986937,2.3501140403432124
142,77.17611425906108,12.734635244203368,2.323919286103129
