time_step,position,velocity,action,distance_to_goal,progress_percent,kinetic_energy,potential_energy,cumulative_action_magnitude,velocity_change,position_change
1,-0.5,0.0,0.0,1.0,0.0,0.0,-0.0125,0.0,0.0,0.0
2,-0.5008953720231182,-0.0008953720231181607,-0.022388040305152453,1.0008953720231182,0.0,4.00845529891354e-7,-0.012499959915447013,0.022388040305152453,-0.0008953720231181607,-0.0008953720231181794
3,-0.5014423364478278,-0.0005469644247095727,0.004233355133512263,1.0014423364478278,0.0,1.495850409489369e-7,-0.012499895983278565,0.026621395438664715,0.000348407598408588,-0.000546964424709584
4,-0.540790366470449,-0.03934803002262121,-2.184721741511769,1.040790366470449,0.0,0.00077413373333055,-0.012416807300160324,2.211343136950434,-0.03880106559791164,-0.039348030022621217
5,-0.6111245525289285,-0.07033418605847956,-2.184721741511769,1.1111245525289286,0.0,0.0024734488642544103,-0.01188256669126227,4.396064878462203,-0.030986156035858352,-0.07033418605847952
6,-0.7023128604138327,-0.09118830788490412,-2.184721741511769,1.2023128604138327,0.0,0.004157653747456034,-0.010453475325558653,6.580786619973972,-0.020854121826424557,-0.09118830788490417
7,-0.8031510471540285,-0.1008381867401958,-2.184721741511769,1.3031510471540284,0.0,0.0050841699525253,-0.0079049721304708,8.765508361485741,-0.009649878855291685,-0.10083818674019585
8,-0.9025903061899673,-0.09943925903593873,-2.184721741511769,1.4025903061899672,0.0,0.004944083118808261,-0.00439605226809342,10.95023010299751,0.0013989277042570775,-0.09943925903593875
9,-0.9908266043884808,-0.0882362981985135,-2.184721741511769,1.4908266043884808,0.0,0.0038928221598884985,-0.0004544622212236893,13.13495184450928,0.011202960837425224,-0.08823629819851353
10,-1.0601566080134601,-0.06933000362497943,-2.184721741511769,1.5601566080134601,0.0,0.0024033247013198304,0.0031887712750572565,15.319673586021048,0.01890629457353407,-0.06933000362497932
11,-1.105537946159761,-0.04538133814630085,-2.184721741511769,1.605537946159761,0.0,0.0010297329259744501,0.005833810211969082,17.50439532753282,0.023948665478678584,-0.045381338146300854
12,-1.0865252035564161,0.019012742603344783,-0.017447962377586654,1.5865252035564161,0.0,0.00018074219065052088,0.004700590720344767,17.521843289910407,0.06439408074964563,0.019012742603344845
13,-1.0090331689130536,0.07749203464336249,0.04322805475343656,1.5090331689130536,0.0,0.003002507716584046,0.0004557383526832659,17.565071344663846,0.05847929204001771,0.07749203464336252
14,-0.8493870251575566,0.159646143755497,2.184721741511769,1.3493870251575566,0.0,0.012743445608000404,-0.006396435332577644,19.749793086175615,0.0821541091121345,0.15964614375549702
15,-0.6317667975766883,0.21762022758086835,2.184721741511769,1.1317667975766883,0.0,0.023679281726174468,-0.011631875552819202,21.934514827687384,0.057974083825371364,0.2176202275808683
16,-0.3837319173110726,0.24803488026561574,2.184721741511769,0.8837319173110726,11.626808268892741,0.030760650914189166,-0.011824086647392039,24.119236569199153,0.030414652684747384,0.2480348802656157
17,-0.1331273376557458,0.2506045796553268,2.184721741511769,0.6331273376557458,36.68726623442542,0.03140132767211151,-0.005770222481221943,26.30395831071092,0.00256969938971105,0.2506045796553268
18,0.09472951348478825,0.22785685114053406,2.184721741511769,0.40527048651521175,59.47295134847883,0.025959372305839747,0.004715375150304245,28.48868005222269,-0.02274772851479273,0.22785685114053406
19,0.28946564905920136,0.19473613557441313,2.184721741511769,0.21053435094079864,78.94656490592014,0.018961081249228105,0.013910527850486801,30.67340179373446,-0.03312071556612092,0.1947361355744131
20,0.4592530287605512,0.16978737970134983,2.184721741511769,0.040746971239448815,95.92530287605511,0.01441387715292517,0.020965875733392546,32.85812353524623,-0.024948755873063305,0.16978737970134983
21,0.5344590657455431,0.07520603698499198,-2.184721741511769,0.03445906574554314,96.55409342544569,0.0028279739994939907,0.023774370417234434,35.042845276758,-0.09458134271635785,0.07520603698499195
22,0.5885780362919645,0.05411897054642134,0.6383037808720187,0.08857803629196448,91.14219637080355,0.0014644314865022102,0.025683559052201377,35.68114905763002,-0.02108706643857064,0.05411897054642134
23,0.614756804781628,0.0261787684896635,0.30765009924652204,0.11475680478162797,88.5243195218372,0.0003426639598176993,0.02657575332587487,35.988799156876546,-0.027940202056757842,0.026178768489663495
24,0.6351290271639445,0.020372222382316518,1.0032507260412464,0.13512902716394448,86.48709728360555,0.00020751372239727903,0.027256667024444837,36.99204988291779,-0.005806546107346981,0.020372222382316507
25,0.6465476870874034,0.011418659923458876,0.7852091000304251,0.1465476870874034,85.34523129125967,6.519289722380294e-5,0.02763336853207481,37.77725898294822,-0.008953562458857641,0.011418659923458918
26,0.6561695917870967,0.009621904699693287,1.1114095863225155,0.15616959178709666,84.38304082129034,4.629052502498988e-5,0.027948104386706432,38.888668569270735,-0.00179675522376559,0.009621904699693262
27,0.6627413645407773,0.0065717727536805555,1.0019369699757428,0.16274136454077726,83.72586354592228,2.1594098563009056e-5,0.02816168014553745,39.89060553924648,-0.003050131946012731,0.006571772753680594
28,0.6686072165938619,0.005865852053084635,1.1245149347282908,0.1686072165938619,83.13927834061381,1.7204110154338616e-5,0.028351375771449434,41.01512047397477,-0.0007059207005959203,0.0058658520530846525
29,0.6732982864954622,0.004691069901600335,1.0765037383108476,0.1732982864954622,82.67017135045378,1.1003068410850289e-5,0.02850245053191531,42.091624212285616,-0.0011747821514843,0.004691069901600287
30,0.6775958525597877,0.004297566064325568,1.1141623832535585,0.17759585255978771,82.24041474402122,9.234537038621378e-6,0.028640366512585613,43.20578659553917,-0.0003935038372747668,0.00429756606432552
