iteration,free_energy
1,19004.093070124727
2,19004.093070124727
3,19004.093070124727
4,19004.093070124727
5,19004.093070124727
6,19004.093070124727
7,19004.093070124727
8,19004.093070124727
9,19004.093070124727
10,19004.093070124727
11,19004.093070124727
12,19004.093070124727
13,19004.093070124727
14,19004.093070124727
15,19004.093070124727
16,19004.093070124727
17,19004.093070124727
18,19004.093070124727
19,19004.093070124727
20,19004.093070124727
21,19004.093070124727
22,19004.093070124727
23,19004.093070124727
24,19004.093070124727
25,19004.093070124727
26,19004.093070124727
27,19004.093070124727
28,19004.093070124727
29,19004.093070124727
30,19004.093070124727
31,19004.093070124727
32,19004.093070124727
33,19004.093070124727
34,19004.093070124727
35,19004.093070124727
36,19004.093070124727
37,19004.093070124727
38,19004.093070124727
39,19004.093070124727
40,19004.093070124727
41,19004.093070124727
42,19004.093070124727
43,19004.093070124727
44,19004.093070124727
45,19004.093070124727
46,19004.093070124727
47,19004.093070124727
48,19004.093070124727
49,19004.093070124727
50,19004.093070124727
51,19004.093070124727
52,19004.093070124727
53,19004.093070124727
54,19004.093070124727
55,19004.093070124727
56,19004.093070124727
57,19004.093070124727
58,19004.093070124727
59,19004.093070124727
60,19004.093070124727
61,19004.093070124727
62,19004.093070124727
63,19004.093070124727
64,19004.093070124727
65,19004.093070124727
66,19004.093070124727
67,19004.093070124727
68,19004.093070124727
69,19004.093070124727
70,19004.093070124727
71,19004.093070124727
72,19004.093070124727
73,19004.093070124727
74,19004.093070124727
75,19004.093070124727
76,19004.093070124727
77,19004.093070124727
78,19004.093070124727
79,19004.093070124727
80,19004.093070124727
81,19004.093070124727
82,19004.093070124727
83,19004.093070124727
84,19004.093070124727
85,19004.093070124727
86,19004.093070124727
87,19004.093070124727
88,19004.093070124727
89,19004.093070124727
90,19004.093070124727
91,19004.093070124727
92,19004.093070124727
93,19004.093070124727
94,19004.093070124727
95,19004.093070124727
96,19004.093070124727
97,19004.093070124727
98,19004.093070124727
99,19004.093070124727
100,19004.093070124727
