metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
rmse,1.4181990865192435,7.7019861477830664,48.09340354797651,1.5103267085808034,0.3918982037060745,0.06420653143831355,0.0068712663567264964,0.0004572654203758563
coverage95,0.297,0.281,0.2995,0.941,0.8845,0.8235,0.763,0.8955
corr_mean,0.9560896969967058,0.6499019774025894,0.3957605322067119,NaN,NaN,NaN,NaN,NaN
