t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
30,5.8062239901058526,0.4231701671047867,-1.9308515537854252,0.0,0.0,0.0,0.0,0.0
31,5.824982636655244,0.3274547946196493,-1.8973605362978088,0.0,0.0,0.0,0.0,0.0
32,5.838998379330522,0.23347390988404193,-1.861481844811925,0.0,0.0,0.0,0.0,0.0
33,5.84836090226611,0.14134539902898213,-1.8232759274956267,0.0,0.0,0.0,0.0,0.0
34,5.85316570698857,0.05118404471248139,-1.7828064600051297,0.0,0.0,0.0,0.0,0.0
35,5.8535139532468,-0.03689863295270035,-1.7401402526478336,0.0,0.0,0.0,0.0,0.0
36,5.849512292006535,-0.12279453071802737,-1.6953471531110216,0.0,0.0,0.0,0.0,0.0
37,5.841272690852287,-0.2063991115466124,-1.6484999448952562,0.0,0.0,0.0,0.0,0.0
38,5.828912252050616,-0.2876115487779418,-1.5996742415973713,0.0,0.0,0.0,0.0,0.0
39,5.81255302353901,-0.3663348649061131,-1.5489483771938672,0.0,0.0,0.0,0.0,0.0
40,5.7923218031145876,-0.44247606477550994,-1.4964032924811732,0.0,0.0,0.0,0.0,0.0
41,5.768349936106544,-0.5159462630057665,-1.442122417834727,0.0,0.0,0.0,0.0,0.0
42,5.740773106825369,-0.5866608054661313,-1.386191552454018,0.0,0.0,0.0,0.0,0.0
43,5.709731124090706,-0.6545393846278089,-1.3286987402657484,0.0,0.0,0.0,0.0,0.0
44,5.675367701148044,-0.7195061486315855,-1.2697341426619908,0.0,0.0,0.0,0.0,0.0
45,5.637830230292377,-0.7814898039170122,-1.209389908254738,0.0,0.0,0.0,0.0,0.0
46,5.5972695525244,-0.8404237112685797,-1.14776003983245,0.0,0.0,0.0,0.0,0.0
47,5.553839722571787,-0.896245975143712,-1.0849402587081796,0.0,0.0,0.0,0.0,0.0
48,5.507697769614685,-0.9488995261569793,-1.0210278666525723,0.0,0.0,0.0,0.0,0.0
49,5.459003454060511,-0.9983321966046697,-0.9561216056084396,0.0,0.0,0.0,0.0,0.0
50,5.40791902071875,-1.0444967889237868,-0.8903215153867705,0.0,0.0,0.0,0.0,0.0
51,5.354608948731444,-1.0873511369896067,-0.8237287895468834,0.0,0.0,0.0,0.0,0.0
52,5.2992396986196635,-1.126858160166111,-0.7564456296660294,0.0,0.0,0.0,0.0,0.0
53,5.241979456810222,-1.1629859100339597,-0.6885750982060047,0.0,0.0,0.0,0.0,0.0
54,5.182997878010418,-1.1957076097310835,-0.62022097018633,0.0,0.0,0.0,0.0,0.0
55,5.122465825801596,-1.2250016858514936,-0.5514875838752546,0.0,0.0,0.0,0.0,0.0
56,5.060555111824749,-1.2508517928585172,-0.48247969071120983,0.0,0.0,0.0,0.0,0.0
57,4.997438233933302,-1.2732468299793163,-0.4133023046684388,0.0,0.0,0.0,0.0,0.0
58,4.933288113689636,-1.292180950558262,-0.3440605512813074,0.0,0.0,0.0,0.0,0.0
59,4.868277833582729,-1.307653563857466,-0.2748595165422656,0.0,0.0,0.0,0.0,0.0
60,4.802580374344641,-1.3196693293035373,-0.20580409588862725,0.0,0.0,0.0,0.0,0.0
61,4.736368352743328,-1.3282381431903778,-0.1369988434931792,0.0,0.0,0.0,0.0,0.0
62,4.669813760228482,-1.3333751178585727,-0.06854782207318894,0.0,0.0,0.0,0.0,0.0
63,4.603087702805903,-1.3351005533826523,-0.0005544534316604399,0.0,0.0,0.0,0.0,0.0
64,4.536360142513906,-1.3334399018081564,0.06687863005639072,0.0,0.0,0.0,0.0,0.0
65,4.469799640873117,-1.3284237239910475,0.13364973280120018,0.0,0.0,0.0,0.0,0.0
66,4.403573104677888,-1.3200876391025402,0.19965824198929066,0.0,0.0,0.0,0.0,0.0
67,4.337845534494365,-1.3084722668728817,0.2648047720004278,0.0,0.0,0.0,0.0,0.0
68,4.272779776226156,-1.2936231626579107,0.32899130704492796,0.0,0.0,0.0,0.0,0.0
69,4.208536276104156,-1.2755907454224866,0.39212134181826896,0.0,0.0,0.0,0.0,0.0
70,4.145272839452141,-1.254430218744929,0.4541000199727716,0.0,0.0,0.0,0.0,0.0
71,4.083144393574251,-1.2302014849565626,0.514834270209257,0.0,0.0,0.0,0.0,0.0
72,4.022302755104569,-1.2029690525402228,0.5742329397949462,0.0,0.0,0.0,0.0,0.0
73,3.9628964021525093,-1.1728019369211733,0.6322069253175674,0.0,0.0,0.0,0.0,0.0
74,3.905070251570939,-1.139773554793305,0.6886693004895393,0.0,0.0,0.0,0.0,0.0
75,3.8489654416664227,-1.1039616121326694,0.7435354408203207,0.0,0.0,0.0,0.0,0.0
76,3.79471912066328,-1.0654479860593973,0.7967231449794852,0.0,0.0,0.0,0.0,0.0
77,3.7424642412248277,-1.0243186007178067,0.8481527526777566,0.0,0.0,0.0,0.0,0.0
78,3.6923293613264456,-0.9806632973530088,0.8977472588982426,0.0,0.0,0.0,0.0,0.0
79,3.6444384517660526,-0.9345756987706126,0.9454324243152593,0.0,0.0,0.0,0.0,0.0
80,3.5989107105879583,-0.8861530683740589,0.9911368817436061,0.0,0.0,0.0,0.0,0.0
81,3.555860384686235,-0.835496163981925,1.0347922384667578,0.0,0.0,0.0,0.0,0.0
82,3.515396598843338,-0.7827090866348679,1.0763331742983544,0.0,0.0,0.0,0.0,0.0
83,3.477623192449169,-0.7278991246091083,1.1156975352373917,0.0,0.0,0.0,0.0,0.0
84,3.442638564134633,-0.6711765928600727,1.1528264225838396,0.0,0.0,0.0,0.0,0.0
85,3.4105355245424844,-0.6126546681264287,1.1876642773878248,0.0,0.0,0.0,0.0,0.0
86,3.3814011574465526,-0.552449219930824,1.2201589601121974,0.0,0.0,0.0,0.0,0.0
87,3.3553166894184696,-0.4906786377195338,1.250261825395094,0.0,0.0,0.0,0.0,0.0
88,3.332357368228806,-0.42746365438873635,1.2779277918060699,0.0,0.0,0.0,0.0,0.0
89,3.3125923501569563,-0.3629271664501935,1.3031154064965402,0.0,0.0,0.0,0.0,0.0
90,3.2960845963714163,-0.29719405109401364,1.3257869046524768,0.0,0.0,0.0,0.0,0.0
91,3.282890778529024,-0.23039098041048633,1.3459082636647612,0.0,0.0,0.0,0.0,0.0
92,3.2730611937286067,-0.16264623303707193,1.3634492519400734,0.0,0.0,0.0,0.0,0.0
93,3.2666396889410425,-0.0940895035003248,1.3783834722828288,0.0,0.0,0.0,0.0,0.0
94,3.2636635950241653,-0.024851709525721077,1.390688399786419,0.0,0.0,0.0,0.0,0.0
95,3.264163670417229,0.04493520240866766,1.4003454141798053,0.0,0.0,0.0,0.0,0.0
96,3.2681640545958155,0.11513845299621334,1.4073398265834047,0.0,0.0,0.0,0.0,0.0
97,3.27568223135403,0.1856246272230141,1.41166090063618,0.0,0.0,0.0,0.0,0.0
98,3.2867290019668247,0.25625987240416115,1.4133018679638343,0.0,0.0,0.0,0.0,0.0
99,3.3013084682711016,0.32691009685145056,1.4122599379660778,0.0,0.0,0.0,0.0,0.0
100,3.319418025690063,0.3974411688881482,1.4085363019090051,0.0,0.0,0.0,0.0,0.0
101,3.3410483662110435,0.467719115925859,1.4021361313167366,0.0,0.0,0.0,0.0,0.0
102,3.3661834913127957,0.5376103233184724,1.393068570664583,0.0,0.0,0.0,0.0,0.0
103,3.394800734823974,0.6069817327085316,1.3813467243840933,0.0,0.0,0.0,0.0,0.0
104,3.4268707956803253,0.675701039581991,1.3669876381984623,0.0,0.0,0.0,0.0,0.0
105,3.4623577805339236,0.7436368897485598,1.3500122748148073,0.0,0.0,0.0,0.0,0.0
106,3.501219256153719,0.8106590744662822,1.3304454840078899,0.0,0.0,0.0,0.0,0.0
107,3.5434063115425714,0.8766387239309436,1.3083159671378115,0.0,0.0,0.0,0.0,0.0
