t,dim_1,dim_2,dim_3,dim_4
1,0.07218636716640964,0.3341357195279241,0.6681090507242464,0.003162476573260766
2,0.0516120353840243,0.26261552308404423,0.6060436356662005,0.0031624755733319528
3,0.03770043776439366,0.20379055232453297,0.5449633729296218,0.003162474573416155
4,0.028687350203623403,0.1563352082794479,0.4858051782529426,0.0031624735735252493
5,0.02315525146051,0.11887840691972063,0.42959205255919186,0.003162472573679545
6,0.019994514352616836,0.09003101315562151,0.37729627351732203,0.0031624715739084455
7,0.01836289725623338,0.06842397068197939,0.32973355536477705,0.003162470574250379
8,0.01764436438252795,0.05274878434802749,0.2874923119082804,0.00316246957475216
9,0.017408629654196373,0.04179422271145484,0.2508983351348219,0.0031624685754679245
10,0.017372851635524034,0.03447524302325094,0.2200115674403956,0.0031624675764578233
11,0.01736671355581844,0.029852063737799743,0.19464895171229823,0.003162466577786536
12,0.017301797665101502,0.027138913313963203,0.17442585637925526,0.0031624655795217398
13,0.017145785010575555,0.02570320594908197,0.1588082456758792,0.0031624645817325933
14,0.0169016398075239,0.02505671933731326,0.1471683764087381,0.003162463584488295
15,0.016591612997577672,0.02484080122195951,0.13883805439236832,0.0031624625878567637
16,0.01624564645052689,0.024807764283016735,0.13315507462231133,0.0031624615919034833
17,0.01589358727968256,0.024800513607481492,0.12950013621141637,0.003162460596690517
18,0.015560529399543069,0.024732164182448387,0.12732306465130905,0.0031624596022757022
19,0.015264577395281694,0.024567020703370218,0.12615845696369307,0.003162458608712046
20,0.015016361941300124,0.02430387189909877,0.125631821136594,0.00316245761604729
21,0.014819710381703669,0.023962146456323895,0.12545789525891582,0.003162456624323656
22,0.014672974836579053,0.023571122574542313,0.12543312973116286,0.003162455633577747
23,0.01457062920478673,0.023162099002722703,0.12542434985344011,0.0031624546438405845
24,0.014504854218117261,0.022763230436518657,0.1253554513280046,0.0031624536551377743
25,0.014466927833425675,0.02239660283234376,0.1251936858394763,0.00316245266748977
26,0.01444832134162908,0.022077065922579187,0.12493673083394108,0.0031624516809122113
27,0.014441466977735056,0.021812338118936462,0.12460135965032218,0.0031624506954163415
28,0.014440210140102147,0.02160393833926296,0.12421417524408884,0.0031624497110094483
29,0.01443998985844521,0.021448565438298085,0.12380456958916129,0.003162448727695345
30,0.014437807284841852,0.02133962568658388,0.12339983586845568,0.003162447745474852
31,0.014432046701625878,0.021268691275008366,0.12302219586195841,0.003162446764346278
32,0.014422209977752077,0.021226749999328165,0.12268740673450715,0.0031624457843059004
33,0.014408616518221208,0.021205172715720425,0.1224045706113619,0.0031624448053484038
34,0.014392109100922649,0.02119637796207532,0.12217677484753431,0.0031624438274672905
35,0.014373793626287313,0.021194211487004504,0.12200222772129038,0.0031624428506552616
36,0.01435482920638733,0.02119408306339677,0.12187561095201067,0.003162441874904553
37,0.014336275149261512,0.021192915685584384,0.12178943610402945,0.0031624409002072346
38,0.014318993744894922,0.021188965446095366,0.1217352579381757,0.0031624399265554456
39,0.01430360245236107,0.021181566642137623,0.12170465787016413,0.0031624389539416237
40,0.014290465971469575,0.021170848451787315,0.1216899609775797,0.0031624379823586516
41,0.01427971742926758,0.021157459015170507,0.12168468859678108,0.0031624370117999865
42,0.01427129810354642,0.021142321701565898,0.12168377524143825,0.003162436042259762
43,0.014265006301651473,0.02112643801663153,0.12168359432485595,0.0031624350737328296
44,0.014260547801368104,0.021110742829204356,0.12168184370874625,0.0031624341062147995
45,0.014257582290628694,0.021096010799354595,0.12167734153832443,0.003162433139702033
46,0.014255762241637611,0.021082808170834466,0.12166977733030808,0.003162432174191628
47,0.014254762432596489,0.021071481316544106,0.12165945486770939,0.0031624312096813854
48,0.014254299773681115,0.021062172305903556,0.12164705382584763,0.003162430246169754
49,0.014254144156402153,0.02105485192875979,0.12163342752732617,0.003162429283655786
50,0.014254121731522457,0.02104936167237709,0.12161944572012591,0.0031624283221390465
51,0.01425411237087019,0.02104545774130033,0.12160588434083065,0.003162427361619562
52,0.014254043144787372,0.021042852023030675,0.12159335909606972,0.0031624264020977465
53,0.014253879520833457,0.021041246692773734,0.12158229635478258,0.0031624254435743296
54,0.014253615731412882,0.021040360747966794,0.12157293310422221,0.0031624244860502743
55,0.01425326543152261,0.021039948066175766,0.1215653372922599,0.003162423529526743
56,0.01425285342462773,0.021039807545128724,0.12155944042134828,0.003162422574005006
57,0.014252408913291837,0.02103978651377211,0.12155507544071997,0.0031624216194864126
58,0.01425196045689361,0.021039778933215302,0.12155201450244098,0.003162420665972329
59,0.014251532604917811,0.021039719990631058,0.1215500027569683,0.0031624197134641086
60,0.014251144024501674,0.021039578590446698,0.12154878588064214,0.0031624187619630527
61,0.014250806851413278,0.021039349028138726,0.12154813032927861,0.003162417811470386
62,0.014250526955866184,0.021039042849002005,0.12154783633338644,0.003162416861987233
63,0.014250304817367958,0.021038681593749248,0.12154774437260135,0.003162415913514611
64,0.01425013673423249,0.02103829084936615,0.12154773630567053,0.003162414966053407
65,0.014250016142169034,0.02103789578027603,0.12154773252691031,0.0031624140196043955
66,0.014249934872760224,0.021037518123929455,0.12154768652225731,0.003162413074168208
