t,obs_term,prior_term,dyn_term,total
299,0.25633760044282916,0.0,3.84478150892765e7,3.84478153456141e7
300,0.9773749431969078,0.0,3.844781436694639e7,3.844781534432133e7
301,1.809676262274723,0.0,3.844781363895265e7,3.844781544862891e7
302,0.831757801662925,0.0,3.8447812907334715e7,3.8447813739092514e7
303,0.36462680946735176,0.0,3.844781217689099e7,3.84478125415178e7
304,0.533879879124755,0.0,3.844781144983067e7,3.844781198371055e7
305,0.6296670606983663,0.0,3.844781072596324e7,3.84478113556303e7
306,0.4242266511894539,0.0,3.8447810005545676e7,3.8447810429772325e7
307,0.5055716765183653,0.0,3.844780928961664e7,3.8447809795188315e7
308,0.5465984140663807,0.0,3.8447808577686824e7,3.8447809124285236e7
309,0.25493908402289905,0.0,3.8447807869421214e7,3.84478081243603e7
310,0.26260515414056484,0.0,3.844780716468624e7,3.844780742729139e7
311,1.7802563313351878,0.0,3.84478064629074e7,3.8447808243163735e7
312,0.8149007054105926,0.0,3.8447805763396785e7,3.844780657829749e7
313,0.36717749276312706,0.0,3.84478050661993e7,3.84478054333768e7
314,0.3220670806212303,0.0,3.8447804371481515e7,3.84478046935486e7
315,0.2558643305392217,0.0,3.844780367905873e7,3.844780393492306e7
316,1.2265684122823248,0.0,3.84478029888431e7,3.8447804215411514e7
317,1.3619290851529904,0.0,3.8447802300331116e7,3.8447803662260205e7
318,2.0823045310665185,0.0,3.84478016131842e7,3.844780369548873e7
319,0.3532130741380568,0.0,3.844780092690663e7,3.84478012801197e7
320,0.3175105300189118,0.0,3.844780024047453e7,3.844780055798506e7
321,0.695267488179781,0.0,3.844779955358432e7,3.844780024885181e7
322,0.5607870590644988,0.0,3.844779886549235e7,3.844779942627941e7
323,0.46623140414225184,0.0,3.8447798176352896e7,3.84477986425843e7
324,0.36459417730930566,0.0,3.844779748732901e7,3.844779785192319e7
325,0.25523585774768015,0.0,3.844779679939703e7,3.844779705463289e7
326,0.25580333631099367,0.0,3.844779611318992e7,3.844779636899326e7
327,3.0695966117975177,0.0,3.844779542918545e7,3.844779849878206e7
328,0.29888913971369346,0.0,3.844779474782692e7,3.844779504671606e7
329,1.1389613559699612,0.0,3.8447794068678096e7,3.844779520763945e7
