metric,dim_1,dim_2,dim_3,dim_4
rmse,0.11383156213391793,0.14983996284862183,0.37205596787583195,0.09754428621571085
coverage95,0.964,0.952,0.9345,1.0
corr_mean,0.99999999999148,0.9999999492110692,0.9980667287031921,0.873960813587759
