t,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,σ2_1,σ2_2,σ2_3,σ2_4,σ2_5,σ2_6
23,4.008956314207813,2.2708912619013697,0.0017864006658993188,0.0007475143799262868,0.010023930470989564,-0.0006068803667722585,0.014578779027336716,0.023233576639636797,0.12549323933288137,0.05623217273108146,0.00022051449892701225,3.8723344402083823e-7
24,4.236054539044864,2.2710753069535285,-0.027455604519722517,0.0017468742929195472,0.009963241381376864,-0.0006068798146908255,0.014517949459347758,0.02280521014101196,0.12541103928772407,0.05567128182636878,0.00021901528352042798,3.8623353831272166e-7
25,4.46302512341247,2.2683401382632398,-0.0524290848164478,0.002740165343342306,0.00990255221795935,-0.00060687915090142,0.014484485852706383,0.022417717589062493,0.12523196048057872,0.055116168351558456,0.00021752380346388728,3.8523365217611115e-7
26,4.689597487884193,2.263112578067152,-0.07399359283595612,0.0037273875182488223,0.009841862987868148,-0.0006068783622959008,0.014469298872214651,0.02208516261071883,0.12495796957980464,0.05456678757076125,0.0002160400387693213,3.8423378848937537e-7
27,4.915539440224041,2.2557334930342554,-0.0926265898101709,0.0047085408068304815,0.00978117370007786,-0.0006068774353896514,0.014464537746094136,0.021813937832567572,0.12460939244028113,0.05402309497944747,0.0002145639694378121,3.8323395036705903e-7
28,5.140650482145009,2.246496003944928,-0.10819919512662592,0.005683625199412846,0.009720484365368539,-0.0006068763563702032,0.014463994932772182,0.021603984914469455,0.12421527063862602,0.05348504630387358,0.00021309557545837798,3.8223414116012585e-7
29,5.364760076125751,2.2357061194471024,-0.12010419029115853,0.006652640686995111,0.009659794996384344,-0.0006068751111441288,0.014463228078517484,0.02145040532549459,0.1238062197009758,0.05295259750052113,0.00021163483680684917,3.8123436445521523e-7
30,5.587731316666505,2.2237305703378714,-0.12758748024386188,0.007615587260439301,0.009599105607758517,-0.000606873685389017,0.014459468433214596,0.02134515453980125,0.12340963484367028,0.052425704755527214,0.00021018173344478888,3.8023462407301657e-7
31,5.809467744854923,2.2110114969168233,-0.1306743290594439,0.008572464911803022,0.0095384162162258,-0.0006068720646163811,0.014451387000042861,0.021278604141163806,0.12304693211971343,0.05190432448412864,0.0002087362453185126,3.7923492406591177e-7
32,6.029916989147977,2.197988513106508,-0.13025431120590814,0.009523273635433364,0.00947772684065487,-0.0006068702342411921,0.014438783593909137,0.02124083970581793,0.1227324262412687,0.05138841333009797,0.0002072983523581623,3.782352687150011e-7
