t,obs_dim_1
1,0.5822584813127771
2,0.3785150467513677
3,3.1892594637550857
4,0.5465623856044192
5,0.4184184865417886
6,0.3983784222279705
7,0.3278996047875268
8,0.39209299622483795
9,0.7269635104060865
10,2.026722559571198
11,0.6742847500554421
12,1.3638557155413191
13,2.5489462926961015
14,0.7871222521294614
15,1.8896383047104914
16,0.48045154231667475
17,1.604154281889468
18,0.6026651784793358
19,0.3441584237864982
20,0.5589501500818208
21,0.2748791966876427
22,0.8344648999096358
23,0.6462439515737715
24,0.4519781974860218
25,0.3607918114432503
26,0.8291602696082987
27,0.25989209840806293
28,0.6306009745714017
29,0.4544552922884214
30,0.4437823819588178
31,0.5495772011648552
32,0.25487717272684685
33,1.4926972160494665
34,0.4175038163430538
35,0.44002449735742233
36,0.26326325391420097
37,0.84250953455336
38,1.5248064424193826
39,0.3224954971653113
40,0.6472482049113135
41,0.2759247594653211
42,0.25864794099643473
43,0.2557839472469965
44,0.33896955023530995
45,0.3143776015913911
46,0.2589453717726352
47,2.3389108266565835
48,0.3561639967272158
49,0.3407291338639179
50,2.789428565072518
51,0.8829433156300124
52,0.2674801895018783
53,0.2865361822595136
54,3.851831371305423
55,0.5332205603452773
56,1.5706268356561834
57,0.32416215195006715
58,2.7461630789668567
59,0.6452725880033949
60,0.2860940088961808
61,0.25436447671636714
62,2.5583672067060226
63,0.9229189696018872
64,0.25937140961130545
65,0.26942191067210286
66,0.40683994067953977
67,0.4802358878163191
68,0.4132833690850669
69,0.2629536936312564
70,0.43949170540913085
71,0.9979376327181924
72,0.2594946762753015
73,1.9805295895607968
74,0.259704907934678
75,0.6390175335794799
76,0.3270271529812682
77,0.40805232063400193
78,0.48238848583169425
79,0.42967945366940374
80,0.3653210585876184
81,0.2599367123066318
82,0.5391530938021408
83,0.26562990805643033
84,0.3910235154611643
85,2.839468618252282
86,0.5389834230168289
87,1.8789556881626475
88,1.2315239998336973
89,0.2688003080586548
90,0.6091788269303542
91,0.3725674492846263
92,1.7830149895797498
93,1.7925928379462275
94,0.7511753154129859
95,0.38498168285892564
96,0.2825874937508964
97,0.29288928125513797
98,0.9576938999294475
99,1.1777189751341137
100,0.29267250282981166
101,0.38638081700949417
102,1.3505271156318808
103,0.6584919839057742
104,1.7846205142186338
105,0.26615727362313946
106,0.31269176571313617
107,0.38472282289911575
108,1.1814704097608089
109,1.2072819436829296
110,0.2574824551109129
111,0.9714621334093969
112,0.4735215552793467
113,0.426951614254524
114,0.25439771156317864
115,0.419367529796022
116,1.9835969148308736
117,0.5582917471445199
118,0.2701700817381925
119,0.266486103057768
120,1.24831811136682
121,0.2743218479532557
122,1.0214748543935601
123,1.126102674910932
124,0.2718450162349197
125,0.6593619443342287
126,0.265441111710935
127,0.3999733532346531
128,0.5577829724262136
129,0.26147345810012396
130,0.30711894762130715
131,0.35387603060011386
132,0.6389900931695748
133,0.7189494141714721
134,0.4262420986021831
135,0.7964979214644685
136,0.651972476396625
137,1.875648631278445
138,0.2692920614040568
139,0.2841464589125474
140,1.2139838124775801
141,0.5739224170605107
142,0.2739099389926824
143,0.2719188652837551
144,0.33102745185459725
145,0.3233300828312862
146,0.656625868463087
147,0.2555903850762676
148,0.8312454335986804
149,0.3238809770580149
150,0.37654128526312086
151,0.5418779987653513
152,0.4123274020721661
153,0.2549481283644051
154,1.0819470301851477
155,0.2543111488741202
156,0.2543412513830611
157,0.47321290841331604
158,1.4062488800684483
159,0.5267721226790989
160,0.2852367913669309
161,2.339675712038776
162,0.3520193956892754
163,1.084132079375273
164,0.4209844303591066
165,0.3697987187215272
166,0.6092591087433532
167,1.585470109141603
168,0.3055510963209188
169,0.3167844938063198
170,1.0328286683077603
171,2.7097316912070233
172,0.4988742985639328
173,0.38395322430720663
174,0.45830893298709724
175,0.7380090595367232
176,0.5438862387515407
177,0.5743285689864324
178,0.3059654025058114
179,0.28258262310435295
180,0.3574797845219275
181,0.3761039583719058
182,0.4923979692374797
183,0.4398483982842902
