metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
rmse,0.2934984696177581,0.47106769778749513,1.1286423176505902,1.081439393739743,0.36815109585033673,0.08177497075944319,0.012043468127076854,0.001107151637966265
coverage95,0.1655,0.17,0.3505,0.7305,0.5485,0.514,0.4505,0.5315
corr_mean,0.9995449235362779,0.9965247473116802,0.9799333894205968,NaN,NaN,NaN,NaN,NaN
