iteration,free_energy
1,1225.9359937097724
2,1225.9359937097724
3,1225.9359937097724
4,1225.9359937097724
5,1225.9359937097724
6,1225.9359937097724
7,1225.9359937097724
8,1225.9359937097724
9,1225.9359937097724
10,1225.9359937097724
11,1225.9359937097724
12,1225.9359937097724
13,1225.9359937097724
14,1225.9359937097724
15,1225.9359937097724
16,1225.9359937097724
17,1225.9359937097724
18,1225.9359937097724
19,1225.9359937097724
20,1225.9359937097724
21,1225.9359937097724
22,1225.9359937097724
23,1225.9359937097724
24,1225.9359937097724
25,1225.9359937097724
26,1225.9359937097724
27,1225.9359937097724
28,1225.9359937097724
29,1225.9359937097724
30,1225.9359937097724
31,1225.9359937097724
32,1225.9359937097724
33,1225.9359937097724
34,1225.9359937097724
35,1225.9359937097724
36,1225.9359937097724
37,1225.9359937097724
38,1225.9359937097724
39,1225.9359937097724
40,1225.9359937097724
41,1225.9359937097724
42,1225.9359937097724
43,1225.9359937097724
44,1225.9359937097724
45,1225.9359937097724
46,1225.9359937097724
47,1225.9359937097724
48,1225.9359937097724
49,1225.9359937097724
50,1225.9359937097724
51,1225.9359937097724
52,1225.9359937097724
53,1225.9359937097724
54,1225.9359937097724
55,1225.9359937097724
56,1225.9359937097724
57,1225.9359937097724
58,1225.9359937097724
59,1225.9359937097724
60,1225.9359937097724
61,1225.9359937097724
62,1225.9359937097724
63,1225.9359937097724
64,1225.9359937097724
65,1225.9359937097724
66,1225.9359937097724
67,1225.9359937097724
68,1225.9359937097724
69,1225.9359937097724
70,1225.9359937097724
71,1225.9359937097724
72,1225.9359937097724
73,1225.9359937097724
74,1225.9359937097724
75,1225.9359937097724
76,1225.9359937097724
77,1225.9359937097724
78,1225.9359937097724
79,1225.9359937097724
80,1225.9359937097724
81,1225.9359937097724
82,1225.9359937097724
83,1225.9359937097724
84,1225.9359937097724
85,1225.9359937097724
86,1225.9359937097724
87,1225.9359937097724
88,1225.9359937097724
89,1225.9359937097724
90,1225.9359937097724
91,1225.9359937097724
92,1225.9359937097724
93,1225.9359937097724
94,1225.9359937097724
95,1225.9359937097724
96,1225.9359937097724
97,1225.9359937097724
98,1225.9359937097724
99,1225.9359937097724
100,1225.9359937097724
