metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
rmse,0.1195854631751599,0.1409928161641938,0.34550032220915317,0.1946459267061003,0.011276052762820971,0.0004907188757534462
coverage95,0.9625,0.9565,0.949,0.832,0.837,0.8655
corr_mean,0.9999999999999704,0.9999999999540536,0.9999995565303349,0.9997932012442222,0.9950795043627427,0.8790098116074568
