t,dim_1,dim_2,dim_3,dim_4,dim_5
1,2.943156566339907,3.9692167146273465,-3.2693703291778395,0.536800179794949,-0.014268414051743901
2,3.137541871417021,3.8064189010424956,-3.2579260540583888,0.5360867590993609,-0.014268414052196017
3,3.3238015740703872,3.644192409417212,-3.2440095913282296,0.5353733384051953,-0.014268414053035179
4,3.501967333476471,3.482660849101116,-3.2267393742284,0.5346599177121354,-0.014268414054326668
5,3.6720780904119934,3.3219919076808657,-3.2032399618668186,0.5339464970196997,-0.014268414056117696
6,3.834184759345673,3.1624970449361944,-3.1692250495269656,0.5332330763269996,-0.014268414058422845
7,3.988359185624267,3.004702036030809,-3.1226309102896845,0.5325196556327928,-0.014268414061203782
8,4.134702087396733,2.849235842403163,-3.064558799148464,0.5318062349358054,-0.014268414064359204
9,4.273344257556013,2.6966723625088584,-2.995546336158227,0.5310928142348958,-0.014268414067728758
10,4.404444505771193,2.547558613873571,-2.9136033503815004,0.5303793935288477,-0.014268414071095059
11,4.528191477810122,2.402541122767326,-2.8175230335219017,0.5296659728162563,-0.014268414074175048
12,4.644807657908045,2.262326755890208,-2.709487302050236,0.5289525520957606,-0.014268414076614494
13,4.754548148570113,2.127513284017462,-2.594013072040714,0.5282391313663981,-0.014268414077999248
14,4.857692292738331,1.9984726321172235,-2.4766696568533386,0.5275257106277308,-0.014268414077877324
15,4.954531068546464,1.875298259456925,-2.363636372383184,0.5268122898799521,-0.0142684140757873
16,5.045352403727287,1.7577746594375292,-2.260423729588522,0.5260988691238931,-0.014268414071289339
17,5.130426562119071,1.6454107998617113,-2.170377404901484,0.5253854483608681,-0.014268414063992612
18,5.209995071812628,1.537548364762182,-2.094693805054419,0.5246720275924289,-0.014268414053572253
19,5.2842650505256685,1.4334692178400743,-2.03311451606706,0.5239586068201981,-0.014268414039776068
20,5.3534080314868415,1.3324681435350703,-1.9844724699007972,0.5232451860457091,-0.014268414022422883
21,5.417561743727213,1.2338982798411506,-1.9490426577081346,0.5225317652704567,-0.014268414001398423
22,5.476831237197498,1.1370990149590183,-1.9275214875724143,0.5218183444960223,-0.014268413976655629
23,5.53128765820056,1.0413749165769903,-1.9168143327621594,0.5211049237238893,-0.014268413948216489
24,5.580971240644672,0.9461852840647543,-1.912934324586282,0.5203915029551077,-0.014268413916157643
25,5.625900180307208,0.851188759905783,-1.9112966018711652,0.5196780821903659,-0.014268413880590365
26,5.666081322332472,0.7562732300130572,-1.9073304149619152,0.5189646614297942,-0.014268413841637
27,5.701521631091808,0.6615551175783929,-1.8985241006858984,0.5182512406731754,-0.014268413799408484
28,5.732237025765232,0.5672764290448109,-1.8830618481835473,0.5175378199200931,-0.014268413753991781
29,5.75825779520428,0.4737699615116577,-1.8623462229703702,0.5168243991700343,-0.014268413705440346
30,5.77962912617095,0.38129838335269345,-1.8368761684289308,0.5161109784227206,-0.01426841365378101
31,5.796408695669199,0.29009941629765873,-1.8071690117172918,0.5153975576777732,-0.014268413599015511
32,5.808665435233936,0.200384915488187,-1.7773738590856711,0.5146841369351105,-0.01426841354112559
33,5.8164736808055935,0.11215928062187172,-1.7508400084834985,0.5139707161950859,-0.014268413480092283
34,5.819903801530991,0.025259446374868256,-1.726986791876203,0.5132572954581934,-0.014268413415911072
35,5.819018734603591,-0.06044861907265834,-1.701038852505777,0.5125438747246293,-0.014268413348589025
36,5.813880682335153,-0.1448601794760508,-1.6680543688013054,0.5118304539940699,-0.014268413278122668
37,5.804563266941721,-0.2276234075762756,-1.6249146038003672,0.5111170332657906,-0.014268413204473184
38,5.791161596056758,-0.30823053911196485,-1.5714263361518077,0.5104036125388501,-0.014268413127550717
39,5.773796412462937,-0.38616414887060935,-1.510785639896543,0.5096901918125015,-0.01426841304721406
40,5.75261033380247,-0.46106661539253824,-1.4475298528003857,0.508976771086411,-0.014268412963285933
41,5.727758192054016,-0.5328071844040765,-1.3832679065912148,0.5082633503606093,-0.014268412875573943
42,5.699399334070844,-0.601335547931872,-1.3165381408487729,0.5075499296351085,-0.014268412783879475
43,5.66769745575703,-0.666528315024354,-1.2457885361008938,0.5068365089097935,-0.014268412687991191
44,5.632824356067926,-0.728184493473056,-1.1723226501991466,0.5061230881844637,-0.014268412587677977
45,5.594960266387803,-0.7861682692921234,-1.0997266441295028,0.5054096674592659,-0.014268412482695834
46,5.5542877192192055,-0.8405231365310352,-1.029997369747551,0.5046962467346199,-0.014268412372804015
47,5.510984577012314,-0.8913924318538531,-0.9634464294927625,0.5039828260110859,-0.014268412257775687
48,5.465221144380022,-0.9389350719933854,-0.8990857233322945,0.5032694052892205,-0.014268412137399898
49,5.417161015725449,-0.9832605686525825,-0.8356250192783011,0.5025559845694264,-0.014268412011475889
50,5.36696392409258,-1.0244139219786512,-0.7712825812631101,0.5018425638519899,-0.014268411879807468
51,5.3147895799018565,-1.0623510453697016,-0.7025853159685176,0.5011291431369564,-0.014268411742193138
52,5.260804233052263,-1.0968541973013597,-0.6268466691027859,0.5004157224239958,-0.014268411598409088
53,5.205188383516456,-1.1275713085183248,-0.5455103480614719,0.49970230171273083,-0.014268411448197205
