metric,dim_1,dim_2,dim_3,dim_4,dim_5
rmse,1.4257093872675977,7.722560362973314,48.134527896785045,0.4483806109651945,0.014279292808441918
coverage95,0.301,0.2775,0.2995,1.0,1.0
