t,dim_1,dim_2,dim_3,dim_4,dim_5
133,4.185299655581832,-2.5065858707726147,-6.356540837456364,0.16919027682963694,-0.0007908369927153916
134,4.05202817458971,-2.8242014881080935,-6.131555098660075,0.16915073303133832,-0.0007906557460969038
135,3.9031571411565826,-3.1305678659836134,-5.883641400895829,0.16911119715500744,-0.0007904743740139697
136,3.7392776789739153,-3.42453860638317,-5.613787225684071,0.16907166909472085,-0.0007902928166228007
137,3.561036995415125,-3.7050166853620263,-5.32301013029195,0.16903214875256126,-0.0007901110085946813
138,3.369135881814787,-3.9709559570695863,-5.012301300237939,0.16899263603895417,-0.000789928879369222
139,3.164326184960889,-4.221359834519074,-4.682670935671982,0.16895313087275687,-0.0007897463534027626
140,2.94740833044618,-4.455282240929405,-4.3352017828211125,0.1689136331818939,-0.0007895633504225685
141,2.7192286864356836,-4.671831236637285,-3.9710480201457243,0.1688741429038476,-0.0007893797856970626
142,2.480676781660841,-4.870172591024251,-3.5914532403557207,0.1688346599863504,-0.0007891955703247826
143,2.2326822922515,-5.049534252746976,-3.197810123732061,0.168795184388109,-0.0007890106115468385
144,1.9762117693825103,-5.209213804782269,-2.7916740294061957,0.16875571607988904,-0.0007888248130949565
145,1.7122649402628927,-5.348586598338664,-2.374617710177132,0.16871625504515833,-0.0007886380755776672
146,1.4418707871911753,-5.467106621969341,-1.9482363666890317,0.16867680128019993,-0.0007884502968732083
147,1.1660836016477274,-5.5643076240948295,-1.5142626860025459,0.16863735479470263,-0.000788261372531157
148,0.8859788315824487,-5.6398099878113745,-1.074527384109445,0.16859791561254298,-0.000788071196204395
149,0.6026486079833517,-5.693325631866778,-0.6309155322537917,0.1685584837721746,-0.0007878796601060561
150,0.3171971191412535,-5.7246607289020455,-0.18532079360407305,0.16851905932695949,-0.0007876866554798669
151,0.030735870057556444,-5.733716134668593,0.2604253505029463,0.16847964234500065,-0.0007874920730720577
152,-0.255620967220417,-5.720484278895967,0.7045194586968185,0.16844023290893514,-0.0007872958035899725
153,-0.5407610919513691,-5.6850477635175505,1.1451978293275091,0.16840083111579823,-0.0007870977381524275
154,-0.8235785422897997,-5.627577375475967,1.5807520764615037,0.16836143707674933,-0.0007868977687307933
155,-1.102978024087319,-5.548329321293863,2.009581710424385,0.16832205091667213,-0.0007866957885745658
156,-1.3778790657631679,-5.447639831679413,2.4301905062485276,0.1682826727734729,-0.000786491692611842
157,-1.64721986461171,-5.325919948938103,2.8411992731291873,0.1682433027975656,-0.0007862853778228753
158,-1.909960914991459,-5.1836496742165155,3.2412583878923016,0.16820394115119564,-0.0007860767435868907
159,-2.1650883828387237,-5.021376489896209,3.6288921800111784,0.1681645880087204,-0.0007858656920226699
160,-2.4116176481335496,-4.839721662194527,4.002595466579013,0.16812524355690286,-0.0007856521283553749
161,-2.648597032972531,-4.639381716917224,4.361021792845273,0.16808590799447132,-0.000785435961289097
