metric,dim_1,dim_2,dim_3,dim_4,dim_5
rmse,0.28672464538275927,0.3866144202828178,0.7557463692626922,0.15198683743776123,0.0004636553458320161
coverage95,0.1745,0.1795,0.348,0.16,1.0
corr_mean,0.9996311171709341,0.9989740993757723,0.9928085546633688,NaN,NaN
