order\scenario,pos_only_constant_2000,pos_only_piecewise_mixed_2000,pos_only_sin_f02_2000
1,125656.78100112439,80705.17430749239,45654.88574278743
2,889094.3928231114,456124.7700298765,293199.8931180646
3,4.081179806491794e8,8.001468935150963e8,1.0005148421192105e8
4,4.126236513199416e8,9.022418649618826e8,1.0272761221095134e8
5,4.274316325920413e8,1.2159918733669128e9,1.1129053128045493e8
6,5.0595674777533317e8,1.7882320051086538e9,1.4053363887699214e8
7,7.29166611541615e8,3.305800427954789e9,2.274629532146235e8
8,1.2357604292496665e9,6.845809378663814e9,4.2904725809090036e8
