order\scenario,pos_only_constant_2000,pos_only_piecewise_mixed_2000,pos_only_sin_f02_2000
1,2.5052256715753847e8,1.6070973036116046e8,9.073948936838262e7
2,6.947594325888748e8,3.8850507641249764e8,2.3704749007574773e8
3,7.297050146000635e10,1.1669157487673724e11,1.6772758842900818e10
4,7.929793480605472e10,3.1477306166819226e11,2.0863543346339935e10
5,8.61496028824187e10,5.174067901520375e11,2.523908695008941e10
6,1.0472115604517433e11,7.323645672667878e11,3.308686833923964e10
7,1.3395578691611642e11,1.0887170894886965e12,4.624883746328583e10
8,8.021086300440737e11,1.6034041325253862e12,6.320290939691063e10
