metric,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
rmse,0.28155694262587444,0.41969453083624814,0.952242092474075,0.7069785634288434,0.14055321603768625,0.01747788043277357,0.001338711735865006
coverage95,0.1735,0.18,0.3555,0.6025,0.441,0.541,0.4405
corr_mean,0.9995762394838091,0.9977986035445542,0.9864126369411036,NaN,NaN,NaN,NaN
