step,obs_position,obs_velocity
1,-0.5,0.0
2,-0.5095089142127381,-0.002954652174686842
3,-0.5191887309787943,-0.03486334179602543
4,-0.6228213208347378,-0.08489893432428272
5,-0.6956250806604912,-0.08882300851932734
6,-0.8125063153026867,-0.11412810500536945
7,-0.8938993982620808,-0.12458317666763348
8,-0.9930122624084023,-0.09237272460582104
9,-1.048684598304969,-0.06120509108917598
10,-1.1179151160765282,-0.05010477617929836
11,-1.0443933675118569,0.04269579821906693
12,-0.894286480075034,0.14708689249722254
13,-0.6744500784504214,0.20120865983348368
14,-0.47493144595686965,0.22290272861082655
15,-0.18313894726008662,0.2518512015839497
16,0.07670823579879486,0.22642560967254374
17,0.243919485897019,0.20888011777518578
18,0.4337838900104682,0.18122513565566098
19,0.5334736093287936,0.11785995770706771
20,0.6290918375387977,0.0777423579516972
21,0.6362977273898168,0.03184925747559938
22,0.6652841445721881,0.028753518658570107
23,0.6773483134763522,0.009118868998959256
24,0.6883721168338592,0.020036879498001148
25,0.6814269082014628,-0.013477673919197769
26,0.6759852059070173,-0.002566272736377946
27,0.675437125839796,0.010054725203636244
28,0.683257274946843,0.00845257480537131
29,0.683544396165988,-0.002139564017844658
30,0.6898661763834016,0.01041118676033655
31,0.6668305231478595,-0.01111400578436946
32,0.6720590143010207,-0.012280104778278221
33,0.6956773043894571,0.0009683776091434747
34,0.6881686897927795,0.01942773134504327
35,0.6773027211418464,-0.008143846768000007
36,0.6907663324059485,-0.0051736448421462675
37,0.6870933279313599,-0.015639810294557358
38,0.712900300314021,0.011335288048757743
39,0.7225992085372321,-0.005946800913415457
40,0.7169721450063402,-0.012281558382247721
41,0.7415988382605977,0.013706266888973771
42,0.7506364704020807,-0.0064262198074116934
43,0.7516669075621659,0.0197298601275279
44,0.7403271971051598,-0.024845062909913864
45,0.7198628517953631,-0.012561528944908413
46,0.7388753063199816,0.011151007483604612
47,0.7037097565856689,-0.005064914010236788
48,0.7225464521008,-0.004717986735722367
49,0.7431292738420404,0.003967334448443443
50,0.7456244076952004,-0.005335755544454055
51,0.7236101823193501,-0.00793983586274015
52,0.7267500976791104,0.018310213746457814
53,0.7255805468386998,-0.01928626811054064
54,0.7312800759192761,0.0023822510318699257
55,0.7195071270424824,-0.0015368669068928321
56,0.7069180233552568,-0.006102344852979501
57,0.7206744310922986,-0.006247918884824736
58,0.7231271589901044,-0.0008938815171891344
59,0.7161249881602255,-0.0025150662634060095
60,0.7250006489361006,0.008313189884579972
61,0.7448406728035611,-0.0031303066577632512
62,0.7238029881159166,-0.0016162445812249338
63,0.7138078812833376,-0.01686408447184968
64,0.7288347729953124,0.013850077995673112
65,0.7432136173038008,-0.00960410980680807
66,0.7505406347686833,0.011978880172172142
67,0.7566375438736905,0.0035854370344924422
68,0.7471365751903195,-0.005464483863551729
69,0.7314945522986286,0.003844861160980895
70,0.7280155454853092,-0.003633560097370983
71,0.7320332114407675,-0.0021540066926734516
72,0.7264469850983569,-0.006700665467130828
73,0.7284536656633643,0.020468107134374997
