step,position,velocity,action
1,-0.5,0.0,0.0
2,-0.5,0.0,0.0
3,-0.5389999956851653,-0.03899999568516537,-2.184721741511769
4,-0.609199987918463,-0.07019999223329768,-2.184721741511769
5,-0.70045997782175,-0.09125998990328699,-2.184721741511769
6,-0.8015479666376986,-0.10108798881594866,-2.184721741511769
7,-0.9013723555934479,-0.0998243889557493,-2.184721741511769
8,-0.9900770657794429,-0.08870471018599496,-2.184721741511769
9,-1.0599035940540595,-0.06982652827461655,-2.184721741511769
10,-1.1057571057809739,-0.04585351172691431,-2.184721741511769
11,-1.047449560071934,0.05830754570903988,2.184721741511769
12,-0.9012278172414394,0.14622174283049466,2.184721741511769
13,-0.6905054712846849,0.21072234595675451,2.184721741511769
14,-0.44280481710997194,0.24770065417471293,2.184721741511769
15,-0.18659375095656772,0.2562110661534042,2.184721741511769
16,0.05165557936231824,0.23824933031888595,2.184721741511769
17,0.2552793978517321,0.20362381848941385,2.184721741511769
18,0.4319697103574982,0.1766903125057661,2.184721741511769
19,0.5517823856154214,0.11981267525792315,0.008369540085348414
20,0.6276891415223839,0.07590675590696254,0.09144857435373671
21,0.6493543974871054,0.02166525596472159,-0.3457424986747677
22,0.6712243979935454,0.021870000506439953,1.3685270677444383
23,0.6757411718388957,0.00451677384535029,0.4547435193880104
24,0.6815900350108229,0.005848863171927263,1.2443803392347952
25,0.6756815358994596,-0.005908499111363416,0.5751847655248266
26,0.6772781453782493,0.0015966094787897567,2.184721741511769
27,0.6807175364487794,0.0034393910705301095,1.2605183038375511
28,0.6799329860503778,-0.0007845503984015983,0.8712494309860412
29,0.6774103222976853,-0.0025226637526924688,0.9823477050242309
30,0.6792388652269468,0.001828542929261441,1.4911544762826077
31,0.6746319314923962,-0.004606933734550605,0.7643121508184931
32,0.6773736449367468,0.002741713444350577,2.184721741511769
33,0.6867977301730728,0.009424085236326023,2.184721741511769
34,0.6926942322786064,0.005896502105533628,0.9300966489859824
35,0.689348533840102,-0.0033456984385044283,0.655520470410043
36,0.6935888440220266,0.004240310181924556,2.184721741511769
37,0.6996057553502814,0.006016911328254725,1.2424928214012467
38,0.7125189106059772,0.012913155255695828,2.184721741511769
39,0.7142441389056674,0.0017252282996902783,0.5937400570432106
40,0.7221051914755543,0.007861052569886947,1.7105237746931525
41,0.7352720840344686,0.013166892558914317,1.63543368469039
42,0.7346247415582926,-0.0006473424761759931,0.49073155851571326
43,0.7397724087586101,0.005147667200317493,1.5324656218319104
44,0.7286183384731196,-0.011154070285490373,0.3885643841068496
45,0.7267439380813492,-0.0018744003917704685,2.184721741511769
46,0.7307737600807457,0.004029821999396541,1.5565165899226756
47,0.7239358019561902,-0.006837958124555444,0.5601406348646036
48,0.7258414736059676,0.001905671649777424,2.184721741511769
49,0.7274583635012735,0.0016168898953058085,1.0202848808528202
50,0.7241870831981769,-0.003271280303096556,0.7811655950325617
51,0.7241035059631226,-8.35772350544009e-5,1.2379767022449337
52,0.7287196040481523,0.0046160980850297115,1.4252689430133179
53,0.7200477829534404,-0.008671821094711919,0.484925328788931
54,0.720215353094291,0.00016757014085061472,2.184721741511769
55,0.715101012441506,-0.005114340652784877,0.7649288368629892
56,0.7136857644892253,-0.001415247952280721,1.2864851048915595
57,0.716791695184272,0.0031059306950466867,1.4162555631712272
58,0.7215581393018484,0.004766444117576433,1.1780091957982344
59,0.7255540917714464,0.00399595246959791,1.014203525255706
60,0.7317239351255246,0.006169843354078192,1.2108541368241903
61,0.7312464133150054,-0.00047752181051916726,0.7224408382987413
62,0.7325066654090101,0.0012602520940047622,1.1319682498087917
63,0.7350427432459162,0.002536077836906167,1.1092429380599225
64,0.7456307860685799,0.010588042822663658,2.184721741511769
65,0.7435142630472548,-0.002116523021325128,0.5107364782194269
66,0.7497210515007798,0.006206788453525042,2.0224651984278235
67,0.7435466582636139,-0.006174393237165995,0.504298422250224
68,0.7373367276967292,-0.006209930566884677,0.9648844552149418
69,0.7341783663105169,-0.003158361386212255,1.1781815214045381
70,0.728475972558134,-0.005702393752382955,0.8601517692765571
71,0.7265576619521296,-0.0019183106060044197,1.2609229052986761
72,0.7244073623343792,-0.002150299617750366,0.9996402366355962
73,0.7266846650019528,0.002277302667573658,1.3693942556059533
74,0.7145744763988204,-0.01211018860313235,0.4452343225820917
75,0.7115227603626679,-0.0030517160361525283,2.184721741511769
76,0.7112046117616101,-0.00031814860105786047,1.225537918227911
77,0.7131537028267231,0.0019490910651130192,1.2098676243147453
78,0.7178205134233019,0.004666810596578846,1.2650323905593488
79,0.7256253161974334,0.007804802774131557,1.3211745731654083
80,0.732625171151072,0.0069998549536385325,1.0251278321927764
81,0.7398370602430487,0.007211889091976804,1.07539135445479
82,0.7401342458213356,0.0002971855782868925,0.7087995363524713
83,0.7402539726406832,0.00011972681934758339,0.9983677315974403
84,0.7482687290531873,0.00801475641250414,1.974916727208091
85,0.7371896448042883,-0.011079084248899019,0.3127738036951174
86,0.7355707562305148,-0.0016188885737734166,2.184721741511769
87,0.7389649160917322,0.003394159861217369,1.4140531430704375
88,0.738080665973137,-0.0008842501185951299,0.8048815295319118
89,0.7406743757681694,0.0025937097950324076,1.2577703950425247
90,0.7423427215953559,0.0016683458271864252,0.9676297796963937
91,0.7325597884697695,-0.00978293312558626,0.5246807003428348
92,0.7320063769439,-0.0005534115258694836,2.184721741511769
93,0.7316275357788897,-0.00037884116501025675,1.0252688759573343
94,0.7353216364892392,0.003694100710349483,1.3335237865459542
95,0.7361045485546076,0.0007829120653683672,0.8745213531853012
