t,dim_1,dim_2,dim_3
96,0.0028239324695130915,0.005016028686594006,0.035406782322240135
97,0.002823905376979489,0.005015899207223881,0.03540523770838383
98,0.0028238726176832815,0.005015810563819139,0.035403844168051646
99,0.002823834837409708,0.005015753558538611,0.03540260348110878
100,0.002823792859425057,0.005015720018954494,0.03540151375674628
101,0.0028237476156135455,0.005015702841877239,0.035400569985404334
102,0.002823700087086289,0.0050156959992425565,0.03539976460827181
103,0.002823651254435147,0.005015694512025419,0.035399088082083204
104,0.002823602057475163,0.0050156943981795885,0.03539852942096877
105,0.0028235533640508584,0.0050156926004348654,0.03539807670104073
106,0.0028235059472718673,0.0050156868994567306,0.035397717517109295
107,0.0028234604703892326,0.005015675817423048,0.03539743938433641
108,0.0028234174784206216,0.00501565851653548,0.03539723008069199
109,0.0028233773955752117,0.0050156346963912725,0.03539707792874075
110,0.002823340527511323,0.005015604493522912,0.03539697201753807
111,0.0028233070674757604,0.005015568385793113,0.03539690236725143
112,0.0028232771054169403,0.005015527103730943,0.03539686004055841
113,0.0028232506392284894,0.0050154815503282895,0.035396837205928594
114,0.0028232275873600722,0.005015432730296094,0.035396827158605315
115,0.002823207802122728,0.00501538168931599,0.03539682430549881
116,0.002823191083112395,0.005015329463420595,0.035396824120330926
117,0.002823177190273149,0.005015277038296735,0.03539682307526825
118,0.0028231658562180876,0.005015225318031138,0.03539681855499513
119,0.0028231567975174968,0.005015175102604937,0.035396808758746054
120,0.0028231497247491622,0.00501512707328839,0.03539679259528049
121,0.0028231443511825167,0.0050150817849852584,0.03539676957517626
122,0.002823140400036084,0.005015039664522081,0.03539673970417196
123,0.002823137610305434,0.005015001013864209,0.03539670338063337
124,0.0028231357412067497,0.00501496601726156,0.035396661299573896
125,0.0028231345753191184,0.005014934751376485,0.03539661436504663
126,0.002823133920537409,0.005014907197516607,0.035396563612157074
127,0.0028231336109676665,0.005014883255182259,0.035396510139434526
128,0.002823133506909201,0.0050148627562347,0.035396455051851114
129,0.002823133494073099,0.005014845479093443,0.03539639941439513
130,0.00282313348218637,0.00501483116247446,0.03539634421579116
131,0.002823133403125867,0.005014819518281948,0.03539629034171117
132,0.0028231332087170257,0.005014810243362419,0.035396238556635484
133,0.0028231328683206622,0.005014803029918426,0.03539618949339537
134,0.002823132366317209,0.0050147975744591206,0.03539614364935393
135,0.0028231316995827,0.005014793585234484,0.0353961013881538
136,0.0028231308750353143,0.00501479078815973,0.03539606294596897
137,0.002823129907315859,0.005014788931284999,0.03539602844124096
138,0.002823128816650644,0.005014787787904243,0.035395997886946286
139,0.0028231276269313687,0.005014787158425936,0.03539597120452827
140,0.0028231263640339337,0.005014786871147974,0.03539594823872448
141,0.002823125054386879,0.005014786782091085,0.03539592877262817
142,0.002823123723790508,0.005014786774049481,0.0353959125424301
143,0.002823122396479706,0.005014786755016417,0.035395899251395586
144,0.002823121094416938,0.005014786656135872,0.0353958885827346
145,0.00282311983679706,0.0050147864293216046,0.03539588021111984
146,0.0028231186397420084,0.005014786044671822,0.035395873812694295
147,0.0028231175161612014,0.005014785487792761,0.03539586907348828
148,0.002823116475752476,0.005014784757128417,0.035395865696232064
149,0.0028231155251182494,0.0050147838613773124,0.03539586340560555
150,0.0028231146679723283,0.005014782817060612,0.03539586195201131
151,0.0028231139054141997,0.005014781646290671,0.03539586111399112
152,0.0028231132362495064,0.005014780374774211,0.03539586069942992
153,0.0028231126573376743,0.005014779030071392,0.03539586054570702
154,0.0028231121639500836,0.005014777640120386,0.0353958605189614
155,0.0028231117501248053,0.005014776232026914,0.035395860512638454
156,0.0028231114090064503,0.0050147748311103095,0.035395860445481285
157,0.002823111133162156,0.005014773460190676,0.0353958602591197
158,0.002823110914867188,0.005014772139097034,0.03539585991539723
159,0.0028231107463556364,0.00501477088437276,0.035395859393562254
160,0.0028231106200337776,0.005014769709152511,0.03539585868743132
161,0.002823110528655182,0.005014768623183687,0.03539585780261677
162,0.0028231104654581935,0.005014767632965889,0.03539585675389225
163,0.0028231104242674794,0.00501476674198245,0.0353958555627538
164,0.002823110399562217,0.005014765950999701,0.035395854255218046
165,0.0028231103865142436,0.005014765258411934,0.0353958528598843
166,0.0028231103809998005,0.0050147646606121775,0.035395851406275214
167,0.0028231103795888233,0.005014764152371591,0.035395849923458685
168,0.0028231103795157714,0.005014763727213254,0.03539584843894501
169,0.002823110378635935,0.005014763377768497,0.035395846977845216
170,0.0028231103753709108,0.0050147630961067165,0.03539584556227115
171,0.0028231103686467665,0.0050147628740322015,0.03539584421095309
172,0.002823110357827934,0.005014762703343406,0.03539584293904845
173,0.0028231103426496476,0.005014762576052517,0.03539584175811347
174,0.0028231103231511384,0.005014762484564468,0.03539584067620929
175,0.002823110299611596,0.005014762421816356,0.035395839698115
176,0.0028231102724903413,0.005014762381379246,0.03539583882562113
177,0.0028231102423723173,0.005014762357525092,0.035395838057879325
178,0.0028231102099197042,0.005014762345262512,0.03539583739178658
179,0.0028231101758300447,0.005014762340345165,0.03539583682238455
180,0.0028231101408010954,0.0050147623392571465,0.035395836343258054
181,0.002823110105502286,0.005014762339179402,0.035395835946919196
182,0.00282311007055253,0.005014762337941421,0.03539583562516663
183,0.0028231100365039624,0.005014762333962118,0.035395835369412
184,0.0028231100038310767,0.005014762326183447,0.03539583517096836
185,0.002823109972924627,0.0050147623140000385,0.035395835021297006
186,0.002823109944089632,0.005014762297187635,0.0353958349122118
187,0.0028231099175468517,0.00501476227583276,0.035395834836041036
188,0.002823109893437005,0.00501476225026554,0.03539583478574878
189,0.0028231098718271303,0.005014762220997198,0.03539583475501818
190,0.002823109852718478,0.005014762188663317,0.03539583473830049
191,0.002823109836055415,0.00501476215397375,0.03539583473083365
192,0.0028231098217348163,0.005014762117669366,0.03539583472863495
193,0.002823109809615601,0.005014762080486019,0.03539583472847227
194,0.0028231097995279966,0.005014762043125355,0.035395834727817856
195,0.0028231097912823255,0.005014762006232421,0.03539583472478973
196,0.0028231097846770363,0.0050147619703793545,0.03539583471808366
197,0.0028231097795059137,0.00501476193605475,0.035395834706900144
198,0.0028231097755642945,0.005014761903657945,0.035395834690868835
199,0.0028231097726542707,0.005014761873497512,0.03539583466997364
200,0.002823109770588906,0.00501476184579336,0.03539583464448031
201,0.002823109769195438,0.005014761820681577,0.035395834614868504
202,0.0028231097683175973,0.005014761798221497,0.035395834581769765
203,0.0028231097678170247,0.005014761778404217,0.035395834545911824
204,0.0028231097675739743,0.005014761761162181,0.035395834508070524
205,0.0028231097674873383,0.005014761746379157,0.03539583446902896
206,0.002823109767474136,0.005014761733900295,0.03539583442954416
207,0.0028231097674685486,0.005014761723541898,0.035395834390320964
208,0.002823109767420621,0.005014761715100586,0.03539583435199249
209,0.0028231097672947163,0.005014761708361694,0.035395834315107046
210,0.002823109767067812,0.0050147617031067356,0.03539583428012015
211,0.0028231097667277202,0.0050147616991198,0.03539583424739156
212,0.002823109766271295,0.005014761696192913,0.03539583421718623
213,0.002823109765702686,0.005014761694130344,0.03539583418967848
214,0.0028231097650316768,0.005014761692751789,0.03539583416495863
215,0.0028231097642721654,0.00501476169189471,0.03539583414304163
216,0.002823109763440787,0.0050147616914157185,0.03539583412387682
217,0.002823109762555694,0.0050147616911911524,0.03539583410735833
218,0.0028231097616355457,0.005014761691117067,0.03539583409333584
219,0.00282310976069863,0.005014761691108547,0.03539583408162486
220,0.0028231097597621988,0.005014761691098657,0.03539583407201685
221,0.0028231097588419475,0.005014761691037027,0.035395834064288326
222,0.0028231097579516492,0.005014761690888161,0.03539583405820903
223,0.0028231097571029184,0.0050147616906296155,0.03539583405354921
224,0.0028231097563051165,0.005014761690250138,0.03539583405008565
225,0.0028231097555653237,0.005014761689747725,0.03539583404760654
226,0.0028231097548884324,0.005014761689127819,0.03539583404591532
227,0.0028231097542772707,0.005014761688401592,0.03539583404483345
228,0.0028231097537328017,0.005014761687584294,0.0353958340442022
229,0.0028231097532543407,0.005014761686693868,0.03539583404388351
230,0.002823109752839813,0.005014761685749689,0.035395834043760316
231,0.002823109752485983,0.0050147616847715055,0.03539583404373583
232,0.0028231097521887257,0.005014761683778541,0.03539583404373284
233,0.0028231097519432593,0.005014761682788839,0.03539583404369213
234,0.0028231097517443767,0.005014761681818717,0.035395834043570856
235,0.0028231097515866374,0.005014761680882403,0.035395834043340645
236,0.0028231097514645606,0.005014761679991825,0.035395834042985685
237,0.002823109751372766,0.005014761679156504,0.03539583404250062
238,0.0028231097513061166,0.005014761678383562,0.03539583404188864
239,0.0028231097512598008,0.005014761677677825,0.035395834041159584
240,0.002823109751229416,0.005014761677041961,0.03539583404032824
241,0.0028231097512110234,0.0050147616764766945,0.035395834039412696
242,0.0028231097512011675,0.005014761675981062,0.035395834038433056
243,0.0028231097511968823,0.005014761675552638,0.035395834037410125
244,0.0028231097511957045,0.005014761675187839,0.03539583403636452
245,0.002823109751195635,0.00501476167488217,0.035395834035315786
246,0.0028231097511951186,0.0050147616746304795,0.03539583403428186
247,0.0028231097511930065,0.005014761674427199,0.03539583403327862
248,0.002823109751188508,0.005014761674266561,0.03539583403231952
249,0.002823109751181149,0.005014761674142765,0.03539583403141554
250,0.0028231097511707136,0.005014761674050151,0.03539583403057504
251,0.002823109751157216,0.005014761673983328,0.035395834029804014
