t,dim_1,dim_2,dim_3
95,-1.743943541510898,5.401249305822572,2.532448674530162
96,-1.4707154433791654,5.527871758744591,2.1035791646547737
97,-1.1916923143519906,5.633050732816134,1.6659510738187873
98,-0.9079572729408653,5.71634829904948,1.2212276791864858
99,-0.6206132571015781,5.777409692236818,0.7710616792098494
100,-0.3307788768831229,5.81596278199994,0.31713801679576553
101,-0.03958424965518075,5.831819685362013,-0.1388668761464095
102,0.2518332218811367,5.824876340533805,-0.5952471202401195
103,0.5423330509103322,5.7951139799557705,-1.0502306379051276
104,0.8307760348805613,5.742602439830999,-1.5020152712710129
105,1.116028709646533,5.667501664444758,-1.948786853621846
106,1.3969678830123962,5.570062306255443,-2.388725707833212
107,1.6724851630219613,5.450626001763974,-2.8200125558710636
108,1.9414915198664995,5.309625351248057,-3.240843863187584
109,2.2029218021610957,5.147583131888254,-3.649444475319018
110,2.455739221664712,4.965110878496711,-4.044088585604387
111,2.698939727881754,4.762906415939692,-4.423007099463999
112,2.9315563556880027,4.541756024395511,-4.784463669277787
113,3.152663636280121,4.302532801412692,-5.126897763319094
114,3.3613817070340652,4.04618787108344,-5.448911301563948
115,3.5568800102199125,3.7737422614040113,-5.749233707874051
116,3.7383806292166017,3.486280529006009,-6.026654732726166
117,3.9051613837472816,3.184947743040587,-6.279992405853776
118,4.056558819882421,2.8709480714442654,-6.508171893283857
119,4.1919710436355775,2.545539423724063,-6.710261470318601
120,4.310860218983685,2.2100262956021317,-6.885435545041046
121,4.412754761114604,1.8657544626549756,-7.033034343497627
122,4.497251207851262,1.5141026889583211,-7.152578923251379
123,4.564015633586147,1.1564736855269302,-7.243675855333249
124,4.612784739025638,0.7942898346923268,-7.3059385979193685
125,4.643366812075035,0.42899284650031005,-7.33911034483693
126,4.655642564120352,0.06203727107984829,-7.343163426943198
127,4.649565463846408,-0.30512095796871314,-7.3182465055860195
128,4.625161589727946,-0.6710333400450144,-7.264704984541705
129,4.582529021639174,-1.0342686450763063,-7.183013162409214
130,4.521836806973116,-1.3934193582030097,-7.073618727597176
131,4.44332379561206,-1.7471003485870462,-6.936971688115516
132,4.347297542447605,-2.0939489859407514,-6.773586623569744
133,4.234133087641759,-2.4326283689556996,-6.584005462782979
134,4.104271636493631,-2.761828692637719,-6.3688294709214395
135,3.9582191364773722,-3.080270215299366,-6.12873886781057
136,3.7965446704216794,-3.3867072062201755,-5.864486799469946
137,3.6198786664636238,-3.679931591966567,-5.5769089367561175
138,3.4289109104663495,-3.9587770825658684,-5.266947476047834
139,3.2243883263522077,-4.2221244978477195,-4.935675777216815
140,3.0071124559377767,-4.468908325647993,-4.584299356703575
141,2.7779366066905107,-4.698123329484153,-4.214187833438235
142,2.5377626501807278,-4.908832754394854,-3.8267663669511567
143,2.287537495885668,-5.100171103050369,-3.423458212294544
144,2.0282495496025286,-5.27134404055479,-3.005850642955617
145,1.7609249637442415,-5.421636596065929,-2.575679810242952
146,1.4866234609411044,-5.55042060627958,-2.1347427627998177
147,1.2064339272458056,-5.657157760374683,-1.6848915613600943
148,0.9214698453211162,-5.741402350425083,-1.2280559818906363
149,0.6328645775754852,-5.802805157489664,-0.7662322902752337
150,0.34176645122679034,-5.841116776067901,-0.3013999663166902
151,0.04933378466473122,-5.856186774558175,0.1644920882560167
152,-0.24327001822839073,-5.847962166356038,0.6294804196459044
153,-0.5348813513425033,-5.8164881378183635,1.0916325728262852
154,-0.8243412867553568,-5.76190649815977,1.5491415623320768
155,-1.110500250542311,-5.684449405734296,2.000319015001689
156,-1.392222382654228,-5.584433437645639,2.443584607875201
157,-1.668389641618925,-5.4622541865211955,2.877332888286493
158,-1.9379057503508093,-5.318387518100379,3.2998968756714833
159,-2.199700320783281,-5.153392647029209,3.709637342184016
160,-2.452732969815196,-4.967910749464502,4.10494203498515
161,-2.695997392599277,-4.76266361411701,4.4842332944098136
162,-2.928525343749582,-4.538451912695164,4.8459496572528815
163,-3.149390567744119,-4.296154389859597,5.188497450848182
164,-3.357712729233449,-4.036729474153769,5.510261159497037
165,-3.5526614320913135,-3.761216370235519,5.809748164939301
166,-3.7334601169116044,-3.4707289134694235,6.085619539159406
167,-3.8993895874894733,-3.1664478855259026,6.336614744167492
168,-4.049791256080792,-2.8496170951947173,6.561582860185885
169,-4.184070166776502,-2.521537897337054,6.759558181684229
170,-4.30169764088237,-2.183559932056165,6.929772242033657
171,-4.402213440101485,-1.8370712628618637,7.071663979078565
172,-4.485227436353551,-1.4834880061611746,7.184845871907114
173,-4.550420789351783,-1.124245654317554,7.269029009525332
174,-4.59754678990685,-0.7607941453879707,7.324036752527386
175,-4.626431449086999,-0.39459224941571225,7.349844694566477
176,-4.63697375230694,-0.027099956510631632,7.346521975950992
177,-4.629145592904261,0.3402262002257604,7.314170358031417
178,-4.602991560394549,0.70593477558863,7.252968705261373
179,-4.558628604226015,1.0685832679876202,7.163117747794999
180,-4.4962455310376646,1.4267392118830835,7.044856382549323
181,-4.416102481440822,1.7789820865900372,6.8985737185886515
182,-4.318530136775094,2.1239108269395564,6.72479116207113
183,-4.203928579296785,2.4601504381042614,6.524138297154135
184,-4.072765852491192,2.786357404421671,6.297355219792949
185,-3.925576243938164,3.1012252146556603,6.045396131793696
186,-3.7629581873679046,3.4034950679560527,5.7694482824161275
187,-3.5855715733785805,3.6919675262756373,5.470773062107732
188,-3.394134672852658,3.9655062206855822,5.150722008492785
189,-3.189420902511223,4.223042359574948,4.810728634679619
190,-2.972255309941097,4.463578826583756,4.452300372798474
191,-2.7435109298405242,4.686193877333233,4.07702601559178
192,-2.5041048863773607,4.890045206868521,3.6865353430541594
193,-2.2549943884517196,5.074371999356767,3.2825218603018813
194,-1.9971725724400893,5.238498114521473,2.8666370899999403
195,-1.7316643071243687,5.3818299880097245,2.440467851666839
196,-1.459522154065593,5.503853396139137,2.0056650309648125
197,-1.181822332952504,5.604136659732576,1.5639643920279542
198,-0.8996604742832982,5.6823348878695485,1.117118559464652
199,-0.6141472657624196,5.738190821081949,0.6668290409469074
200,-0.326404120047483,5.771532274950482,0.21477443307873187
201,-0.03755897047520913,5.7822709950364315,-0.23734347589237398
202,0.2512579733109669,5.77040381600487,-0.6877601531825087
203,0.5389185388050423,5.736015799364527,-1.1346222921398779
204,0.8243011168711082,5.679284672478173,-1.576169288681677
205,1.1062952040068692,5.60047619250859,-2.0107625712959094
206,1.3838056264587761,5.499938045106263,-2.436762598678078
207,1.6557566366161587,5.378099893277315,-2.8525794831361986
208,1.9210959656941269,5.235470894287055,-3.256714244171554
209,2.1787986784873343,5.072635154200825,-3.647671230619802
210,2.427870904146288,4.890251561942821,-4.023977051747559
211,2.667353567987894,4.689052675775475,-4.384206128305187
212,2.896325999874276,4.469842332992346,-4.726948246008891
213,3.1139094825729012,4.23349488175621,-5.050864473467787
214,3.319270689988401,3.9809516169511463,-5.354763860093527
215,3.511624859003927,3.7132133806651426,-5.6375599981897055
216,3.6902386175071,3.4313353355009486,-5.898222128487006
217,3.854432641133374,3.1364241820963015,-6.135825507348885
218,4.003584100439121,2.8296328581442998,-6.349537672857609
219,4.1371288478952675,2.512155924584863,-6.5386245609907165
220,4.254563382293015,2.185224645675284,-6.702517299863079
221,4.355446484942975,1.850098728972536,-6.840767629838323
222,4.439400473533681,1.508060295187058,-6.953017170919291
223,4.506112222583764,1.160409384059812,-7.039048001149579
224,4.555333888550752,0.8084569310827787,-7.098703622805537
225,4.5868833644701805,0.4535216965782563,-7.13178829546561
226,4.600644718422825,0.09693222821608201,-7.138134683331961
227,4.596568661689173,-0.2599745595499014,-7.1176840017102965
228,4.574672826868761,-0.6158588131427583,-7.0704566389639965
229,4.535041804134893,-0.9693816980343979,-6.99661658008297
230,4.477826937385207,-1.3192125794258482,-6.896443836119667
231,4.403245738641799,-1.6640348228702821,-6.770264654980926
232,4.311581149857851,-2.0025481064166923,-6.618476520106227
233,4.203180629678585,-2.3334719822589567,-6.441529806564828
234,4.078455096159553,-2.655548521316755,-6.23994146657886
235,3.9378777197012815,-2.9675456421972926,-6.014282838747535
236,3.7819825534362574,-3.268259830155932,-5.765230997258606
237,3.611362987325179,-3.556521424247286,-5.49361673503207
