iteration,free_energy
1,139412.50067679904
2,139412.50067679904
3,139412.50067679904
4,139412.50067679904
5,139412.50067679904
6,139412.50067679904
7,139412.50067679904
8,139412.50067679904
9,139412.50067679904
10,139412.50067679904
11,139412.50067679904
12,139412.50067679904
13,139412.50067679904
14,139412.50067679904
15,139412.50067679904
16,139412.50067679904
17,139412.50067679904
18,139412.50067679904
19,139412.50067679904
20,139412.50067679904
21,139412.50067679904
22,139412.50067679904
23,139412.50067679904
24,139412.50067679904
25,139412.50067679904
26,139412.50067679904
27,139412.50067679904
28,139412.50067679904
29,139412.50067679904
30,139412.50067679904
31,139412.50067679904
32,139412.50067679904
33,139412.50067679904
34,139412.50067679904
35,139412.50067679904
36,139412.50067679904
37,139412.50067679904
38,139412.50067679904
39,139412.50067679904
40,139412.50067679904
41,139412.50067679904
42,139412.50067679904
43,139412.50067679904
44,139412.50067679904
45,139412.50067679904
46,139412.50067679904
47,139412.50067679904
48,139412.50067679904
49,139412.50067679904
50,139412.50067679904
51,139412.50067679904
52,139412.50067679904
53,139412.50067679904
54,139412.50067679904
55,139412.50067679904
56,139412.50067679904
57,139412.50067679904
58,139412.50067679904
59,139412.50067679904
60,139412.50067679904
61,139412.50067679904
62,139412.50067679904
63,139412.50067679904
64,139412.50067679904
65,139412.50067679904
66,139412.50067679904
67,139412.50067679904
68,139412.50067679904
69,139412.50067679904
70,139412.50067679904
71,139412.50067679904
72,139412.50067679904
73,139412.50067679904
74,139412.50067679904
75,139412.50067679904
76,139412.50067679904
77,139412.50067679904
78,139412.50067679904
79,139412.50067679904
80,139412.50067679904
81,139412.50067679904
82,139412.50067679904
83,139412.50067679904
84,139412.50067679904
85,139412.50067679904
86,139412.50067679904
87,139412.50067679904
88,139412.50067679904
89,139412.50067679904
90,139412.50067679904
91,139412.50067679904
92,139412.50067679904
93,139412.50067679904
94,139412.50067679904
95,139412.50067679904
96,139412.50067679904
97,139412.50067679904
98,139412.50067679904
99,139412.50067679904
100,139412.50067679904
