n_heads,status,theta_real,empirical_rate,prior_b,iterations,prior_a,execution_time,posterior_mean,converged,posterior_std,n_samples
141.0,success,0.7,0.705,1.0,10,2.0,0.003264904022216797,0.7044334975369458,true,0.03194717952852032,200
162.0,success,0.8,0.81,1.0,10,2.0,0.003268003463745117,0.8078817733990148,true,0.02758310203167143,200
59.0,success,0.3,0.295,1.0,10,4.0,0.0031919479370117188,0.3073170731707317,true,0.03214600261341801,200
101.0,success,0.5,0.505,1.0,10,4.0,0.003287076950073242,0.5121951219512195,true,0.034826287290072346,200
141.0,success,0.7,0.705,1.0,10,4.0,0.0031690597534179688,0.7073170731707317,true,0.03170094108828812,200
162.0,success,0.8,0.81,1.0,10,4.0,0.003072023391723633,0.8097560975609757,true,0.027346319042314545,200
59.0,success,0.3,0.295,1.0,10,8.0,0.0035130977630615234,0.32057416267942584,true,0.03220517326838529,200
101.0,success,0.5,0.505,1.0,10,8.0,0.0033648014068603516,0.5215311004784688,true,0.03447127249175588,200
141.0,success,0.7,0.705,1.0,10,8.0,0.0034019947052001953,0.7129186602870813,true,0.031218557065397775,200
162.0,success,0.8,0.81,1.0,10,8.0,0.003255128860473633,0.8133971291866029,true,0.026884429855498475,200
141.0,success,0.3,0.282,1.0,10,1.0,0.00798797607421875,0.28286852589641437,true,0.020082034687849335,500
239.0,success,0.5,0.478,1.0,10,1.0,0.00796198844909668,0.47808764940239046,true,0.022272478934221105,500
348.0,success,0.7,0.696,1.0,10,1.0,0.008057117462158203,0.6952191235059761,true,0.020524411776285858,500
401.0,success,0.8,0.802,1.0,10,1.0,0.007857084274291992,0.8007968127490039,true,0.017808417015012807,500
141.0,success,0.3,0.282,1.0,10,2.0,0.008027076721191406,0.28429423459244535,true,0.020092594326411806,500
239.0,success,0.5,0.478,1.0,10,2.0,0.008183002471923828,0.47912524850894633,true,0.022252351612405293,500
348.0,success,0.7,0.696,1.0,10,2.0,0.0215761661529541,0.6958250497017893,true,0.020492572691936682,500
401.0,success,0.8,0.802,1.0,10,2.0,0.00783681869506836,0.8011928429423459,true,0.01777744197502028,500
141.0,success,0.3,0.282,1.0,10,4.0,0.008235931396484375,0.2871287128712871,true,0.02011261845653598,500
239.0,success,0.5,0.478,1.0,10,4.0,0.007835865020751953,0.48118811881188117,true,0.022211973461884707,500
348.0,success,0.7,0.696,1.0,10,4.0,0.007942914962768555,0.697029702970297,true,0.02042915533357058,500
401.0,success,0.8,0.802,1.0,10,4.0,0.007883071899414062,0.801980198019802,true,0.017715804337593805,500
141.0,success,0.3,0.282,1.0,10,8.0,0.007970094680786133,0.29273084479371314,true,0.02014844407460766,500
239.0,success,0.5,0.478,1.0,10,8.0,0.008033990859985352,0.48526522593320237,true,0.022130756099945952,500
348.0,success,0.7,0.696,1.0,10,8.0,0.007824182510375977,0.6994106090373281,true,0.020303356672320336,500
401.0,success,0.8,0.802,1.0,10,8.0,0.007877826690673828,0.8035363457760314,true,0.017593764871086725,500
291.0,success,0.3,0.291,1.0,10,1.0,0.01756119728088379,0.29141716566866266,true,0.014348364871956993,1000
483.0,success,0.5,0.483,1.0,10,1.0,0.015681982040405273,0.48303393213572854,true,0.015778632918314318,1000
688.0,success,0.7,0.688,1.0,10,1.0,0.01543116569519043,0.687624750499002,true,0.014634018229167014,1000
799.0,success,0.8,0.799,1.0,10,1.0,0.015568971633911133,0.7984031936127745,true,0.012667837688673522,1000
