iteration,free_energy
1,1467.509399050101
2,1467.509399050101
3,1467.509399050101
4,1467.509399050101
5,1467.509399050101
6,1467.509399050101
7,1467.509399050101
8,1467.509399050101
9,1467.509399050101
10,1467.509399050101
11,1467.509399050101
12,1467.509399050101
13,1467.509399050101
14,1467.509399050101
15,1467.509399050101
16,1467.509399050101
17,1467.509399050101
18,1467.509399050101
19,1467.509399050101
20,1467.509399050101
21,1467.509399050101
22,1467.509399050101
23,1467.509399050101
24,1467.509399050101
25,1467.509399050101
26,1467.509399050101
27,1467.509399050101
28,1467.509399050101
29,1467.509399050101
30,1467.509399050101
31,1467.509399050101
32,1467.509399050101
33,1467.509399050101
34,1467.509399050101
35,1467.509399050101
36,1467.509399050101
37,1467.509399050101
38,1467.509399050101
39,1467.509399050101
40,1467.509399050101
41,1467.509399050101
42,1467.509399050101
43,1467.509399050101
44,1467.509399050101
45,1467.509399050101
46,1467.509399050101
47,1467.509399050101
48,1467.509399050101
49,1467.509399050101
50,1467.509399050101
51,1467.509399050101
52,1467.509399050101
53,1467.509399050101
54,1467.509399050101
55,1467.509399050101
56,1467.509399050101
57,1467.509399050101
58,1467.509399050101
59,1467.509399050101
60,1467.509399050101
61,1467.509399050101
62,1467.509399050101
63,1467.509399050101
64,1467.509399050101
65,1467.509399050101
66,1467.509399050101
67,1467.509399050101
68,1467.509399050101
69,1467.509399050101
70,1467.509399050101
71,1467.509399050101
72,1467.509399050101
73,1467.509399050101
74,1467.509399050101
75,1467.509399050101
76,1467.509399050101
77,1467.509399050101
78,1467.509399050101
79,1467.509399050101
80,1467.509399050101
81,1467.509399050101
82,1467.509399050101
83,1467.509399050101
84,1467.509399050101
85,1467.509399050101
86,1467.509399050101
87,1467.509399050101
88,1467.509399050101
89,1467.509399050101
90,1467.509399050101
91,1467.509399050101
92,1467.509399050101
93,1467.509399050101
94,1467.509399050101
95,1467.509399050101
96,1467.509399050101
97,1467.509399050101
98,1467.509399050101
99,1467.509399050101
100,1467.509399050101
