iteration,free_energy
1,1098.091428057087
2,1098.091428057087
3,1098.091428057087
4,1098.091428057087
5,1098.091428057087
6,1098.091428057087
7,1098.091428057087
8,1098.091428057087
9,1098.091428057087
10,1098.091428057087
11,1098.091428057087
12,1098.091428057087
13,1098.091428057087
14,1098.091428057087
15,1098.091428057087
16,1098.091428057087
17,1098.091428057087
18,1098.091428057087
19,1098.091428057087
20,1098.091428057087
21,1098.091428057087
22,1098.091428057087
23,1098.091428057087
24,1098.091428057087
25,1098.091428057087
26,1098.091428057087
27,1098.091428057087
28,1098.091428057087
29,1098.091428057087
30,1098.091428057087
31,1098.091428057087
32,1098.091428057087
33,1098.091428057087
34,1098.091428057087
35,1098.091428057087
36,1098.091428057087
37,1098.091428057087
38,1098.091428057087
39,1098.091428057087
40,1098.091428057087
41,1098.091428057087
42,1098.091428057087
43,1098.091428057087
44,1098.091428057087
45,1098.091428057087
46,1098.091428057087
47,1098.091428057087
48,1098.091428057087
49,1098.091428057087
50,1098.091428057087
51,1098.091428057087
52,1098.091428057087
53,1098.091428057087
54,1098.091428057087
55,1098.091428057087
56,1098.091428057087
57,1098.091428057087
58,1098.091428057087
59,1098.091428057087
60,1098.091428057087
61,1098.091428057087
62,1098.091428057087
63,1098.091428057087
64,1098.091428057087
65,1098.091428057087
66,1098.091428057087
67,1098.091428057087
68,1098.091428057087
69,1098.091428057087
70,1098.091428057087
71,1098.091428057087
72,1098.091428057087
73,1098.091428057087
74,1098.091428057087
75,1098.091428057087
76,1098.091428057087
77,1098.091428057087
78,1098.091428057087
79,1098.091428057087
80,1098.091428057087
81,1098.091428057087
82,1098.091428057087
83,1098.091428057087
84,1098.091428057087
85,1098.091428057087
86,1098.091428057087
87,1098.091428057087
88,1098.091428057087
89,1098.091428057087
90,1098.091428057087
91,1098.091428057087
92,1098.091428057087
93,1098.091428057087
94,1098.091428057087
95,1098.091428057087
96,1098.091428057087
97,1098.091428057087
98,1098.091428057087
99,1098.091428057087
100,1098.091428057087
