t,dim_1
84,4.5584712259055476e-5
85,4.5583797348352275e-5
86,4.558288344882497e-5
87,4.55819705604329e-5
88,4.5581058683135556e-5
89,4.558014781689239e-5
90,4.5579237961662885e-5
91,4.557832911740666e-5
92,4.5577421284083296e-5
93,4.557651446165244e-5
94,4.55756086500738e-5
95,4.55747038493071e-5
96,4.557380005931212e-5
97,4.5572897280048734e-5
98,4.557199551147678e-5
99,4.557109475355619e-5
100,4.557019500624694e-5
101,4.5569296269509045e-5
102,4.556839854330253e-5
103,4.556750182758751e-5
104,4.5566606122324136e-5
105,4.5565711427472646e-5
106,4.55648177429932e-5
107,4.556392506884608e-5
108,4.556303340499166e-5
109,4.55621427513903e-5
110,4.5561253108002384e-5
111,4.55603644747884e-5
112,4.555947685170885e-5
113,4.555859023872427e-5
114,4.5557704635795314e-5
115,4.5556820042882526e-5
116,4.555593645994664e-5
117,4.555505388694838e-5
118,4.555417232384854e-5
119,4.555329177060793e-5
120,4.55524122271874e-5
121,4.555153369354785e-5
122,4.555065616965029e-5
123,4.5549779655455655e-5
124,4.5548904150925006e-5
125,4.5548029656019446e-5
126,4.554715617070011e-5
127,4.5546283694928186e-5
128,4.554541222866486e-5
129,4.55445417718714e-5
130,4.5543672324509184e-5
131,4.554280388653952e-5
132,4.55419364579238e-5
133,4.554107003862348e-5
134,4.554020462860008e-5
135,4.553934022781512e-5
136,4.5538476836230186e-5
137,4.553761445380687e-5
138,4.553675308050689e-5
139,4.553589271629194e-5
140,4.553503336112378e-5
141,4.553417501496425e-5
142,4.5533317677775144e-5
143,4.55324613495184e-5
144,4.553160603015594e-5
145,4.553075171964977e-5
146,4.552989841796191e-5
147,4.5529046125054436e-5
148,4.552819484088946e-5
149,4.5527344565429154e-5
150,4.5526495298635735e-5
151,4.552564704047144e-5
152,4.5524799790898575e-5
153,4.552395354987949e-5
154,4.5523108317376604e-5
155,4.552226409335228e-5
156,4.552142087776906e-5
157,4.5520578670589424e-5
158,4.551973747177596e-5
159,4.551889728129133e-5
160,4.551805809909809e-5
161,4.551721992515901e-5
162,4.551638275943686e-5
163,4.551554660189435e-5
164,4.55147114524944e-5
165,4.551387731119983e-5
166,4.551304417797361e-5
167,4.5512212052778705e-5
168,4.551138093557809e-5
169,4.5510550826334885e-5
170,4.5509721725012166e-5
171,4.550889363157309e-5
172,4.550806654598085e-5
173,4.550724046819869e-5
174,4.5506415398189887e-5
175,4.550559133591778e-5
176,4.5504768281345745e-5
177,4.550394623443719e-5
178,4.5503125195155595e-5
179,4.550230516346447e-5
180,4.550148613932738e-5
181,4.550066812270788e-5
182,4.549985111356965e-5
183,4.5499035111876364e-5
184,4.5498220117591747e-5
185,4.5497406130679605e-5
186,4.5496593151103734e-5
187,4.5495781178828015e-5
188,4.549497021381638e-5
189,4.5494160256032737e-5
190,4.5493351305441124e-5
191,4.54925433620056e-5
192,4.549173642569021e-5
193,4.5490930496459106e-5
194,4.54901255742765e-5
195,4.54893216591066e-5
196,4.5488518750913674e-5
197,4.5487716849662035e-5
198,4.5486915955316034e-5
199,4.548611606784006e-5
200,4.5485317187198594e-5
201,4.548451931335615e-5
202,4.548372244627723e-5
203,4.548292658592644e-5
204,4.548213173226838e-5
205,4.548133788526774e-5
206,4.5480545044889266e-5
207,4.547975321109766e-5
208,4.5478962383857794e-5
209,4.5478172563134444e-5
210,4.547738374889258e-5
211,4.5476595941097105e-5
212,4.547580913971301e-5
213,4.547502334470535e-5
214,4.547423855603915e-5
215,4.547345477367958e-5
216,4.54726719975918e-5
217,4.547189022774101e-5
218,4.5471109464092446e-5
219,4.547032970661143e-5
220,4.546955095526328e-5
221,4.546877321001343e-5
222,4.546799647082727e-5
223,4.5467220737670306e-5
224,4.5466446010508075e-5
225,4.546567228930608e-5
226,4.546489957402998e-5
227,4.5464127864645464e-5
228,4.546335716111816e-5
229,4.546258746341385e-5
230,4.546181877149836e-5
231,4.5461051085337475e-5
232,4.5460284404897096e-5
233,4.545951873014312e-5
234,4.545875406104156e-5
235,4.545799039755841e-5
236,4.545722773965973e-5
237,4.545646608731162e-5
238,4.545570544048025e-5
239,4.545494579913179e-5
240,4.545418716323248e-5
241,4.5453429532748616e-5
242,4.5452672907646526e-5
243,4.5451917287892585e-5
244,4.545116267345319e-5
245,4.545040906429481e-5
246,4.544965646038394e-5
247,4.544890486168715e-5
248,4.544815426817104e-5
249,4.5447404679802235e-5
250,4.5446656096547424e-5
251,4.544590851837334e-5
252,4.5445161945246766e-5
253,4.5444416377134486e-5
254,4.54436718140034e-5
255,4.5442928255820404e-5
256,4.544218570255245e-5
257,4.544144415416655e-5
258,4.544070361062972e-5
259,4.5439964071909045e-5
260,4.543922553797169e-5
261,4.5438488008784805e-5
262,4.543775148431564e-5
263,4.543701596453141e-5
264,4.543628144939949e-5
265,4.5435547938887176e-5
266,4.5434815432961896e-5
267,4.543408393159108e-5
268,4.5433353434742244e-5
269,4.54326239423829e-5
270,4.543189545448061e-5
271,4.543116797100304e-5
272,4.5430441491917816e-5
273,4.542971601719268e-5
274,4.542899154679537e-5
275,4.5428268080693704e-5
276,4.5427545618855534e-5
277,4.542682416124871e-5
278,4.54261037078412e-5
279,4.542538425860098e-5
280,4.542466581349606e-5
281,4.542394837249452e-5
282,4.5423231935564466e-5
283,4.542251650267407e-5
284,4.542180207379152e-5
285,4.54210886488851e-5
286,4.542037622792304e-5
287,4.541966481087373e-5
288,4.541895439770553e-5
289,4.541824498838685e-5
290,4.541753658288619e-5
291,4.541682918117208e-5
292,4.5416122783213034e-5
293,4.541541738897767e-5
294,4.541471299843464e-5
295,4.541400961155267e-5
296,4.541330722830045e-5
297,4.5412605848646796e-5
298,4.541190547256051e-5
299,4.541120610001049e-5
300,4.54105077309656e-5
301,4.540981036539488e-5
302,4.5409114003267294e-5
303,4.54084186445519e-5
304,4.540772428921778e-5
305,4.540703093723409e-5
306,4.540633858857001e-5
307,4.540564724319475e-5
308,4.5404956901077616e-5
309,4.54042675621879e-5
310,4.5403579226494966e-5
311,4.540289189396824e-5
312,4.5402205564577164e-5
313,4.5401520238291216e-5
314,4.5400835915079986e-5
315,4.540015259491302e-5
316,4.539947027775994e-5
317,4.539878896359045e-5
318,4.539810865237425e-5
319,4.539742934408113e-5
320,4.539675103868087e-5
321,4.5396073736143334e-5
322,4.5395397436438396e-5
323,4.5394722139536055e-5
324,4.5394047845406246e-5
325,4.5393374554019016e-5
326,4.5392702265344443e-5
327,4.5392030979352664e-5
328,4.5391360696013794e-5
329,4.53906914152981e-5
330,4.5390023137175814e-5
331,4.538935586161724e-5
332,4.538868958859268e-5
333,4.5388024318072593e-5
334,4.538736005002735e-5
335,4.538669678442746e-5
336,4.5386034521243444e-5
337,4.538537326044584e-5
338,4.5384713002005295e-5
339,4.538405374589246e-5
340,4.5383395492078013e-5
341,4.538273824053268e-5
342,4.5382081991227325e-5
