time_step,position,velocity,action,engine_force,distance_to_goal,progress_percent,kinetic_energy,potential_energy,cumulative_action_magnitude,cumulative_engine_force,velocity_change,position_change
34,-0.11520430850809102,0.03197782921862145,100.0,0.04,0.615204308508091,38.479569149190894,0.0005112907807676598,-0.005096613790463181,3400.0,1.3600000000000005,0.0016893676120101134,0.03197782921862144
35,-0.08490383136052262,0.0303004771475684,100.0,0.04,0.5849038313605226,41.50961686394774,0.00045905945768515746,-0.0038847585390413284,3500.0,1.4000000000000006,-0.0016773520710530454,0.030300477147568394
36,-0.05914301879165881,0.025760812568863818,100.0,0.04,0.5591430187916588,44.08569812083412,0.00033180973210406603,-0.0027822561059934153,3600.0,1.4400000000000006,-0.004539664578704583,0.025760812568863818
37,-0.040043985600515496,0.01909903319114331,100.0,0.04,0.5400439856005155,45.99560143994845,0.0001823865344181969,-0.0019220232408870602,3700.0,1.4800000000000006,-0.006661779377720507,0.01909903319114331
38,-0.02885045716843497,0.011193528432080525,100.0,0.04,0.5288504571684349,47.11495428315651,6.264753937989756e-5,-0.0014009054144803635,3800.0,1.5200000000000007,-0.007905504759062786,0.011193528432080525
39,-0.025891235862719,0.0029592213057159714,100.0,0.04,0.525891235862719,47.4108764137281,4.378495368101669e-6,-0.0012610439884110027,3900.0,1.5600000000000007,-0.008234307126364554,0.0029592213057159714
40,-0.030638813101302724,-0.004747577238583725,100.0,0.04,0.5306388131013027,46.93611868986973,1.1269744818159134e-5,-0.0014850038116523082,4000.0,1.6000000000000008,-0.007706798544299696,-0.004747577238583725
41,-0.0418477513058978,-0.011208938204595079,100.0,0.04,0.5418477513058978,45.81522486941022,6.282014783721557e-5,-0.002004825850826877,4100.0,1.6400000000000008,-0.006461360966011354,-0.011208938204595079
42,-0.057751020559443596,-0.015903269253545793,100.0,0.04,0.5577510205594436,44.22489794405564,0.00012645698647538748,-0.002720792009189316,4200.0,1.6800000000000008,-0.0046943310489507145,-0.015903269253545793
43,-0.07628886083169045,-0.018537840272246857,100.0,0.04,0.5762888608316905,42.37111391683095,0.0001718257609796687,-0.003523443527234671,4300.0,1.7200000000000009,-0.0026345710187010637,-0.018537840272246857
44,-0.09534403099354358,-0.01905517016185313,100.0,0.04,0.5953440309935436,40.465596900645636,0.00018154975494858895,-0.00431267733737229,4400.0,1.760000000000001,-0.0005173298896062745,-0.019055170161853124
45,-0.11295928103985703,-0.01761525004631346,100.0,0.04,0.612959281039857,38.704071896014305,0.00015514851709707317,-0.005009974093340782,4500.0,1.800000000000001,0.0014399201155396724,-0.017615250046313452
46,-0.12751707797755343,-0.014557796937696411,100.0,0.04,0.6275170779775534,37.248292202244656,0.00010596472583960151,-0.005562823640081,4600.0,1.840000000000001,0.0030574531086170476,-0.014557796937696404
47,-0.13786738742372487,-0.010350309446171428,100.0,0.04,0.6378673874237248,36.213261257627515,5.3564452815752746e-5,-0.005942998545434071,4700.0,1.880000000000001,0.004207487491524983,-0.010350309446171435
48,-0.14339592718290667,-0.005528539759181807,100.0,0.04,0.6433959271829066,35.66040728170934,1.5282375934427014e-5,-0.00614167676251306,4800.0,1.920000000000001,0.0048217696869896215,-0.0055285397591818
49,-0.14403202024787964,-0.0006360930649729618,100.0,0.04,0.6440320202478796,35.596797975212034,2.023071936533483e-7,-0.006164339869559702,4900.0,1.960000000000001,0.004892446694208845,-0.0006360930649729757
50,-0.14020130198156733,0.0038307182663123024,100.0,0.04,0.6402013019815673,35.979869801843265,7.337201217929366e-6,-0.006027244845212035,5000.0,2.000000000000001,0.004466811331285264,0.0038307182663123163
