time_step,position,velocity,action,engine_force,distance_to_goal,progress_percent,kinetic_energy,potential_energy,cumulative_action_magnitude,cumulative_engine_force,velocity_change,position_change
1,-0.5,0.0,100.0,0.04,1.0,0.0,0.0,-0.0125,100.0,0.04,0.0,0.0
2,-0.46,0.04,100.0,0.04,0.96,4.0000000000000036,0.0008,-0.01242,200.0,0.08,0.04,0.03999999999999998
3,-0.388,0.07200000000000001,100.0,0.04,0.888,11.2,0.0025920000000000006,-0.011872800000000001,300.0,0.12,0.03200000000000001,0.07200000000000001
4,-0.2944,0.09360000000000002,100.0,0.04,0.7944,20.560000000000002,0.004380480000000002,-0.010386432000000001,400.0,0.16,0.021600000000000008,0.09360000000000002
5,-0.19071999999999997,0.10368000000000002,100.0,0.04,0.69072,30.928,0.005374771200000002,-0.007717294079999999,500.0,0.2,0.010080000000000006,0.10368000000000002
6,-0.08833599999999994,0.10238400000000003,100.0,0.04,0.588336,41.1664,0.005241241728000003,-0.0040266375551999975,600.0,0.24000000000000002,-0.0012959999999999916,0.10238400000000003
7,0.0026432000000000816,0.09097920000000002,100.0,0.04,0.49735679999999993,50.264320000000005,0.004138607416320002,0.00013215953833417153,700.0,0.28,-0.011404800000000007,0.09097920000000002
8,0.07452500398323937,0.07188180398323929,100.0,0.04,0.42547499601676064,57.452500398323934,0.002583496871942418,0.003715947660250401,800.0,0.32,-0.019097396016760734,0.07188180398323929
9,0.12963212527485085,0.055107121291611494,100.0,0.04,0.37036787472514915,62.96321252748509,0.0015183974085241905,0.00642788448140535,900.0,0.36,-0.016774682691627796,0.05510712129161148
10,0.17046002310137898,0.04082789782652811,100.0,0.04,0.329539976898621,67.0460023101379,0.0008334586204667095,0.008402139538378615,1000.0,0.39999999999999997,-0.014279223465083382,0.040827897826528126
11,0.19929598902125534,0.028835965919876357,100.0,0.04,0.30070401097874466,69.92959890212553,0.0004157564652661354,0.009773466572963237,1100.0,0.43999999999999995,-0.011991931906651754,0.02883596591987636
12,0.2180597101767151,0.018763721155459764,100.0,0.04,0.2819402898232849,71.80597101767151,0.00017603861579992415,0.010654139518853451,1200.0,0.4799999999999999,-0.010072244764416594,0.018763721155459767
13,0.22827135981911406,0.010211649642398953,100.0,0.04,0.27172864018088594,72.82713598191141,5.2138894209553336e-5,0.011129290629587407,1300.0,0.5199999999999999,-0.00855207151306081,0.010211649642398957
