t,mu,var,truth,obs,residual,abs_residual,residual2
1.0,3.621787266552126,0.9985112264509224,0.9983341664682815,0.5972381740072938,-2.6234531000838444,2.6234531000838444,6.882506168339534
2.0,5.360418650572672,1.319463610838281,1.9866933079506122,4.095569390804185,-3.37372534262206,3.37372534262206,11.382022687450336
3.0,4.946530033733778,1.3955550655088278,2.955202066613396,-1.0185555366076788,-1.9913279671203816,1.9913279671203816,3.965387072635792
4.0,4.872284910793358,1.3603401634027703,3.8941834230865053,3.62540365641361,-0.9781014877068523,0.9781014877068523,0.9566825202543578
5.0,5.265263820858774,1.3049274247880676,4.79425538604203,4.496134806575981,-0.4710084348167438,0.4710084348167438,0.22184894566851882
6.0,5.369450559240495,1.2457982695318237,5.646424733950354,8.738769139009026,0.2769741747098591,0.2769741747098591,0.07671469345620754
7.0,7.069873456953054,1.9008693899524436,6.442176872376911,4.32135521669602,-0.6276965845761433,0.6276965845761433,0.39400300228855545
8.0,7.947051278738297,2.3682457427295667,7.173560908995228,4.913353334808146,-0.7734903697430697,0.7734903697430697,0.5982873520852707
9.0,8.05250061515408,2.6289506238759475,7.833269096274834,4.774721957954137,-0.21923151887924686,0.21923151887924686,0.04806245887010157
10.0,8.956753811989525,2.7836424401522866,8.414709848078965,4.10076850275968,-0.5420439639105599,0.5420439639105599,0.2938116588118723
11.0,8.169095912469107,2.859533515895864,8.912073600614354,5.751148573188732,0.7429776881452472,0.7429776881452472,0.5520158450816562
12.0,7.048269278294172,2.9166388512321504,9.320390859672264,4.602325961609499,2.2721215813780917,2.2721215813780917,5.16253648056408
13.0,6.064715374390991,2.94912763089353,9.63558185417193,5.491999974238625,3.570866479780939,3.570866479780939,12.751087416423116
14.0,5.283673105947777,2.9533316347028107,9.854497299884603,12.878379690597091,4.570824193936826,4.570824193936826,20.89243381187823
15.0,3.7239367446274674,3.013192797361525,9.974949866040545,16.440738083242422,6.251013121413077,6.251013121413077,39.07516504407847
16.0,2.3228312040298515,3.0852856830196664,9.99573603041505,15.164347671798172,7.672904826385199,7.672904826385199,58.87346847476529
17.0,2.37056983292107,3.09721221565252,9.916648104524686,11.847314913091012,7.546078271603616,7.546078271603616,56.94329728116821
18.0,2.224818177954891,3.0752276916139487,9.738476308781951,11.468743720913386,7.513658130827061,7.513658130827061,56.4550585069436
19.0,0.6425755988565144,3.109785703074574,9.463000876874144,8.427480906093178,8.82042527801763,8.82042527801763,77.7999020850924
20.0,-1.8946310023810002,3.3731222187539265,9.092974268256818,7.490484256937955,10.987605270637818,10.987605270637818,120.72746958334797
21.0,-3.7769864659629167,3.650437055621455,8.632093666488737,11.934505150284135,12.409080132451654,12.409080132451654,153.98526973360637
22.0,-4.368597996484601,3.8279787404050905,8.084964038195901,4.905297720557877,12.453562034680502,12.453562034680502,155.09120735163557
23.0,-5.110917801158321,3.938174464728252,7.4570521217672,5.73179214489528,12.56796992292552,12.56796992292552,157.9538679835605
24.0,-7.380217925670441,4.158599780928648,6.754631805511506,8.842847932886459,14.134849731181948,14.134849731181948,199.7939769230944
25.0,-7.419689601573018,4.2913841219237066,5.984721441039564,3.5812367143796244,13.404411042612583,13.404411042612583,179.67823539931416
26.0,-6.773717196529368,4.370325616943229,5.155013718214642,3.4909256160537687,11.92873091474401,11.92873091474401,142.29462123636947
27.0,-6.734469972511973,4.401372528030673,4.273798802338298,3.0666870998880054,11.008268774850272,11.008268774850272,121.18198141934351
28.0,-5.3647790482335065,4.444145448044464,3.3498815015590466,1.1980911372041163,8.714660549792553,8.714660549792553,75.94530849811065
29.0,-4.698308294144284,4.461146805399043,2.39249329213982,2.9672580487902254,7.090801586284104,7.090801586284104,50.27946713604916
30.0,-4.505391190038186,4.452143614426745,1.4112000805986722,-0.7810131021188429,5.916591270636857,5.916591270636857,35.00605226377626
31.0,-3.856409726903043,4.433967024403792,0.41580662433290494,-1.2750976352352263,4.272216351235948,4.272216351235948,18.251832551767798
32.0,-2.3087558047894046,4.451534576227689,-0.5837414342758008,-4.797860541757843,1.7250143705136036,1.7250143705136036,2.975674578478444
33.0,-1.0324878082649294,4.476457347585444,-1.5774569414324866,-2.335836455686734,-0.5449691331675572,0.5449691331675572,0.29699135610539873
34.0,0.2854028352609179,4.50836577381867,-2.5554110202683167,-3.57585683478061,-2.840813855529235,2.840813855529235,8.070223361766876
35.0,2.0817053363426115,4.576134080666223,-3.5078322768961985,2.520211200130705,-5.58953761323881,5.58953761323881,31.242930729811413
36.0,3.2417429408416134,4.630319328922022,-4.425204432948525,-0.8622861585512496,-7.666947373790139,7.666947373790139,58.78208203246751
37.0,4.780868938000587,4.694597394811751,-5.298361409084934,1.7862405724160828,-10.07923034708552,10.07923034708552,101.5908843896097
38.0,5.648462926359614,4.735556489674209,-6.1185789094271925,-4.118630783831565,-11.767041835786806,11.767041835786806,138.46327356515692
39.0,5.720030126087477,4.747290799654497,-6.8776615918397415,-4.453986814717545,-12.59769171792722,12.59769171792722,158.70183661993204
40.0,6.383746951976698,4.74608730821428,-7.5680249530792825,-2.5513488526531862,-13.951771905055981,13.951771905055981,194.6519392907094
41.0,6.670720182818051,4.730426395193536,-8.182771110644108,-13.512293805493721,-14.85349129346216,14.85349129346216,220.62620360495617
42.0,8.01661441611231,4.7328882589738805,-8.715757724135882,-9.478303078011535,-16.73237214024819,16.73237214024819,279.97227743975384
43.0,7.824754219856612,4.719747935536322,-9.161659367494549,-13.285165804150566,-16.98641358735116,16.98641358735116,288.53824656054803
44.0,6.671682663817053,4.715780773927894,-9.516020738895161,-11.79048799870904,-16.187703402712216,16.187703402712216,262.0417414541807
45.0,6.222953786308898,4.701264043145315,-9.77530117665097,-7.122143458323302,-15.99825496295987,15.99825496295987,255.9441618598701
46.0,4.784433753580653,4.707284969854375,-9.936910036334645,-7.9882443017949605,-14.721343789915299,14.721343789915299,216.71796298087773
47.0,4.704126058987697,4.697423416770833,-9.999232575641008,-8.396342449409651,-14.703358634628705,14.703358634628705,216.1887551385105
48.0,4.600551887538786,4.677041829550536,-9.961646088358405,-6.269452148891215,-14.562197975897192,14.562197975897192,212.05760988922427
49.0,3.235811746075485,4.6751082062874145,-9.824526126243324,-19.485679014608685,-13.060337872318808,13.060337872318808,170.57242533912498
50.0,1.319975992945596,4.71183257849304,-9.589242746631385,-4.597167051574385,-10.90921873957698,10.90921873957698,119.01105350793756
51.0,-1.2554522856074262,4.8235727300838835,-9.258146823277322,-7.615013707491947,-8.002694537669896,8.002694537669896,64.04311986325159
52.0,-3.165465261138284,4.942295669250893,-8.83454655720153,-9.827746249545017,-5.669081296063247,5.669081296063247,32.13848274137415
53.0,-4.046758146743181,5.025692178925306,-8.322674422239007,-3.708646156703809,-4.275916275495827,4.275916275495827,18.2834599950501
54.0,-5.748694589663996,5.111920644261259,-7.7276448755598715,-3.9124163864082075,-1.9789502858958752,1.9789502858958752,3.916244234047366
55.0,-5.6128062483529595,5.16212805541704,-7.0554032557039195,-6.556193381448627,-1.44259700735096,1.44259700735096,2.081086125617946
56.0,-6.289883761239964,5.191562064878524,-6.3126663787232085,-7.661783004779523,-0.022782617483244394,0.022782617483244394,0.0005190476593878331
57.0,-6.918935356100405,5.205294081768138,-5.506855425976376,0.9943240461416165,1.4120799301240297,1.4120799301240297,1.9939697290590845
58.0,-7.104507204071474,5.203598957763531,-4.646021794137566,-2.7149254988879608,2.4584854099339086,2.4584854099339086,6.044150510857898
