t,mu,var,truth,obs,residual,abs_residual,residual2
1.0,4.491649834703171,0.9985147327245454,0.9983341664682815,0.5972381740072938,-3.4933156682348896,3.4933156682348896,12.203254357935373
2.0,4.374483493562675,0.6234938325403835,1.9866933079506122,4.095569390804185,-2.3877901856120625,2.3877901856120625,5.701541970505287
3.0,4.638318550426729,0.5532953740339321,2.955202066613396,-1.0185555366076788,-1.683116483813333,1.683116483813333,2.8328810980841577
4.0,5.368888412291298,0.5335612155086846,3.8941834230865053,3.62540365641361,-1.4747049892047928,1.4747049892047928,2.174754805185508
5.0,5.450844032448988,0.5126663582038137,4.79425538604203,4.496134806575981,-0.6565886464069584,0.6565886464069584,0.4311086505905218
6.0,6.600851011923188,1.3543775829426348,5.646424733950354,8.738769139009026,-0.9544262779728339,0.9544262779728339,0.9109295200850771
7.0,7.357457491331998,2.014846544935733,6.442176872376911,4.32135521669602,-0.9152806189550873,0.9152806189550873,0.8377386114348077
8.0,7.560237772190816,2.4435025718089847,7.173560908995228,4.913353334808146,-0.38667686319558836,0.38667686319558836,0.14951899653077977
9.0,8.47301813901741,2.7249453211924966,7.833269096274834,4.774721957954137,-0.6397490427425767,0.6397490427425767,0.40927883769004325
10.0,7.846875036945001,2.874103827837804,8.414709848078965,4.10076850275968,0.5678348111339648,0.5678348111339648,0.32243637273554554
11.0,6.847617739935899,2.966566379372262,8.912073600614354,5.751148573188732,2.0644558606784553,2.0644558606784553,4.261978000689622
12.0,5.940390500626442,3.0147961914245607,9.320390859672264,4.602325961609499,3.3800003590458214,3.3800003590458214,11.424402427149882
13.0,5.207082219151778,3.0245667471270834,9.63558185417193,5.491999974238625,4.4284996350201515,4.4284996350201515,19.611609017373617
14.0,3.6954364630749086,3.086036903771162,9.854497299884603,12.878379690597091,6.159060836809694,6.159060836809694,37.934030391522924
15.0,2.326754178170502,3.1587888085538918,9.974949866040545,16.440738083242422,7.648195687870043,7.648195687870043,58.49489727995392
16.0,2.3727746423147265,3.1694766124485074,9.99573603041505,15.164347671798172,7.622961388100324,7.622961388100324,58.109540324468426
17.0,2.22864500185517,3.144906692476799,9.916648104524686,11.847314913091012,7.688003102669516,7.688003102669516,59.1053917066561
18.0,0.6703408403768117,3.178367531691685,9.738476308781951,11.468743720913386,9.06813546840514,9.06813546840514,82.23108087334731
19.0,-1.8155710964233363,3.44598924072338,9.463000876874144,8.427480906093178,11.278571973297481,11.278571973297481,127.20618575685144
20.0,-2.789247884656019,3.630216604604146,9.092974268256818,7.490484256937955,11.882222152912837,11.882222152912837,141.18720329117258
