t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
34,0.9012497458222806,-2.5188050534336175,-2.790457654058,0.014391547839523058,0.021195401333119222,0.12217053392971333
35,0.6354169558655299,-2.7978508215528852,-2.8329303286356646,0.014373366602487165,0.021193171886822494,0.12199441985530046
36,0.3414672240040834,-3.0811438573236214,-2.8578385101878494,0.014354519945935111,0.02119303988089871,0.12186632998552907
37,0.0190636443378238,-3.366927711111283,-2.8650090539731448,0.014336063696903512,0.021191919886866153,0.12177884365730093
38,-0.33195417316240833,-3.65342861916555,-2.855223896265283,0.014318859088530063,0.02118805605920924,0.12172356345847182
39,-0.7115731551418409,-3.9389510113908766,-2.8290145336337305,0.014303524428695182,0.021180769501822235,0.12169209862492095
40,-1.119613331291293,-4.221852467118823,-2.787294636947687,0.014290426607778276,0.021170176677218874,0.1216767837115404
41,-1.5557350526153908,-4.500581933035422,-2.731242228353746,0.014279701744217603,0.0211569146726667,0.12167113400160313
42,-2.01944945948604,-4.773706157850096,-2.6620613118288885,0.014271294436760396,0.021141898143981038,0.12167006585237428
43,-2.5101303855018258,-5.039912290645116,-2.581657190748297,0.014265006268340721,0.021126122470215225,0.12166992600884649
44,-3.0270299034835535,-5.298078011035727,-2.4921033369241363,0.01426054597798433,0.021110518897656826,0.1216683805620551
45,-3.5692982240144344,-5.5472883457696485,-2.3951829275152283,0.01425757573399401,0.02109586065805366,0.1216642137740646
46,-4.136002978364663,-5.786806639049112,-2.2933579552580037,0.014255749931483708,0.021082714320216977,0.1216570815993449
47,-4.726150438499467,-6.016142434457499,-2.190250073164723,0.014254744709683636,0.021071427844945447,0.12164725640530501
48,-5.338715936904771,-6.235167441197186,-2.089311573070036,0.014254277825910686,0.02106214567497357,0.12163538983192494
49,-5.972679242408963,-6.444098597575492,-1.993077721527865,0.014254119586085438,0.021054841338002676,0.12162231125031069
50,-6.6270544923928085,-6.64340636863771,-1.9031540745620792,0.014254096219962056,0.02104935908470481,0.12160887080421043
51,-7.300910902950573,-6.8337217746712335,-1.821084333633282,0.014254087442667747,0.02104545766145963,0.12159582909816102
52,-7.993388503650989,-7.015830206455359,-1.7483954740044563,0.01425402002421998,0.02104285111881206,0.12158379046623881
53,-8.703713504813454,-7.190669751961922,-1.6865600073880511,0.014253859066172114,0.02104124333866749,0.12157317340530097
54,-9.431213283341807,-7.359325750477316,-1.637591095804148,0.014253598429789292,0.021040354555796403,0.12156421000193116
55,-10.175333812826205,-7.523084857938541,-1.6021927588685294,0.014253251436285395,0.02103993945011455,0.12155696573458687
