t,obs_term,prior_term,dyn_term,total
84,0.4012857833752879,0.0,3.5285694795770854e7,3.5285695197056636e7
85,0.45049271765004695,0.0,3.528567962780263e7,3.528568007829535e7
86,0.35169048249900786,0.0,3.528566552934722e7,3.5285665881037705e7
87,0.6912945725123867,0.0,3.528565288987182e7,3.5285653581166394e7
88,1.305884684141784,0.0,3.528564194979834e7,3.528564325568302e7
89,0.3358394097716888,0.0,3.528563280284952e7,3.528563313868894e7
90,3.1140186275286976,0.0,3.528562541574582e7,3.528562852976444e7
91,0.32179753254111837,0.0,3.528561965833954e7,3.528561998013707e7
92,0.8548606546414458,0.0,3.528561533290942e7,3.5285616187770076e7
93,0.9467003377240959,0.0,3.528561220388828e7,3.528561315058862e7
94,0.3464277987264895,0.0,3.5285610025637195e7,3.528561037206499e7
95,0.5607858677759445,0.0,3.5285608562376946e7,3.528560912316281e7
96,1.6375251594065077,0.0,3.5285607603429794e7,3.528560924095495e7
97,1.3519893190795833,0.0,3.5285606973238416e7,3.528560832522774e7
98,1.46641840832106,0.0,3.5285606534163386e7,3.528560800058179e7
99,1.9550167666087443,0.0,3.528560618608679e7,3.528560814110356e7
100,0.2789950709984983,0.0,3.5285605862760335e7,3.528560614175541e7
101,0.7162946627217744,0.0,3.5285605526104905e7,3.5285606242399566e7
102,0.2544019787529341,0.0,3.5285605160283916e7,3.52856054146859e7
103,0.7345244955584709,0.0,3.528560476529351e7,3.5285605499818005e7
104,0.8071006266400912,0.0,3.528560435128369e7,3.5285605158384316e7
105,0.3476768395018371,0.0,3.528560393319085e7,3.528560428086769e7
106,0.2837242952850259,0.0,3.5285603526785776e7,3.528560381051007e7
107,0.2703135537582511,0.0,3.528560314636507e7,3.528560341667862e7
108,1.3254922014746562,0.0,3.528560280317614e7,3.5285604128668346e7
109,0.2792341511873755,0.0,3.5285602504271425e7,3.5285602783505574e7
110,0.2544319334412048,0.0,3.528560225242392e7,3.528560250685585e7
111,0.26339475468685236,0.0,3.52856020471574e7,3.528560231055216e7
112,0.2867850937074107,0.0,3.528560188532799e7,3.528560217211308e7
113,0.2600169258509972,0.0,3.528560176203251e7,3.5285602022049434e7
114,0.46298988384810436,0.0,3.528560167135627e7,3.528560213434615e7
115,1.1467189959306208,0.0,3.5285601607144915e7,3.528560275386391e7
116,0.3369410952989569,0.0,3.528560156357889e7,3.528560190051998e7
117,0.27978815279118857,0.0,3.528560153505347e7,3.528560181484162e7
118,0.6785086435221046,0.0,3.528560151650551e7,3.528560219501416e7
119,0.731024806798952,0.0,3.5285601503870524e7,3.528560223489533e7
120,0.33451213938022667,0.0,3.52856014942347e7,3.528560182874684e7
121,0.5377484374175003,0.0,3.528560148561011e7,3.528560202335855e7
122,0.541023118908379,0.0,3.528560147681541e7,3.528560201783853e7
123,0.27946616488934184,0.0,3.528560146731752e7,3.528560174678369e7
124,0.2855346266726124,0.0,3.528560145699929e7,3.5285601742533915e7
125,1.0209091462969346,0.0,3.5285601446064584e7,3.528560246697373e7
126,0.2705715369806098,0.0,3.52856014349329e7,3.528560170550444e7
127,0.27157354984797316,0.0,3.528560142406116e7,3.528560169563471e7
128,0.2877047393001513,0.0,3.528560141385896e7,3.528560170156369e7
129,0.29538736945102617,0.0,3.528560140469743e7,3.5285601700084805e7
130,0.5124453701496594,0.0,3.528560139686697e7,3.528560190931234e7
131,0.25898077376291473,0.0,3.528560139043873e7,3.52856016494195e7
132,0.30070940740043983,0.0,3.5285601385336004e7,3.528560168604541e7
133,0.3244521547069853,0.0,3.5285601381414905e7,3.528560170586706e7
134,0.3365720278548908,0.0,3.528560137851921e7,3.5285601715091236e7
135,0.2788145256178329,0.0,3.52856013764489e7,3.5285601655263424e7
136,0.5363108457132256,0.0,3.5285601374861516e7,3.528560191117236e7
137,0.592319106152045,0.0,3.528560137335037e7,3.5285601965669475e7
138,0.6917212910444934,0.0,3.528560137182707e7,3.5285602063548364e7
139,1.0533122579689933,0.0,3.528560137058666e7,3.528560242389892e7
140,0.2727608412796052,0.0,3.5285601369507164e7,3.5285601642268e7
141,0.28044742539430473,0.0,3.5285601368429475e7,3.52856016488769e7
